,punteggio-WA,prestazione,vento,disciplina,atleta,categoria,società
570,827,46.68,,disco_1kg,BERGAMO Tare' miriam,PF,ASSINDUSTRIA SPORT
571,821,67.24,,400Hs_h76,FALLETI Benedetta,JF,ATLETICA CANAVESANA
572,821,13.8,,peso_4kg,PISTOLOZZI Greta,SF,C.U.S. PARMA
573,815,5.15,1.9,lungo,NALDI Elisa,SF,C.S. CARABINIERI SEZ. ATLETICA
574,815,46.58,,disco_2kg,LICINI Giacomo,SM,ATL. BERGAMO 1959 ORIOCENTER
575,809,13.6,,peso_4kg,PINTUS Elisa francesca,SF,BRACCO ATLETICA
576,801,3223.24,,Marcia_10km,PERULLO Sara,SF,ATLETICA CASCINA
577,801,2894.24,,Marcia_10km,IMPROTA Cristian,PM,ASD ATLETICA SPEZIA DUFERCO
578,799,3228.24,,Marcia_10km,BELLINI Vittoria,PF,ATL.LIBERTAS UNICUSANO LIVORNO
579,799,2897.24,,Marcia_10km,CIASCHETTI Federico,PM,POLISPORTIVA TETHYS CHIETI
580,791,51.17,,martello_4kg,ERCULIANI Elsa,PF,U.S. QUERCIA DAO CONAD
581,788,44.23,,giavellotto_600g,RUGGERI Gaia,SF,A.ATL. FABRIANO
582,785,44.92,,disco_2kg,EGHAREVBA Jamine,PM,SAFATLETICA PIEMONTE ASD
583,778,43.7,,giavellotto_600g,DOZIO Federica,PF,ATL. LECCO-COLOMBO COSTRUZ.
584,777,2934.24,,Marcia_10km,BRAGGIO Mattia,SM,ASD ATLETICA SPEZIA DUFERCO
585,773,3280.24,,Marcia_10km,VERTERAMO Chiara,SF,BATTAGLIO C.U.S. TORINO ATL
586,769,12.95,,peso_4kg,MADAM Danielle frederique,SF,A.S.D. ACSI ITALIA ATLETICA
587,751,12.66,,peso_4kg,MONTANARO Ludovica,SF,ASD ATLETICA GRAN SASSO TERAMO
588,750,42.46,,disco_1kg,VARRIALE Elena,SF,ATLETICA CASCINA
589,734,3007.24,,Marcia_10km,PONTRANDOLFO Vincenzo,SM45,AMATORI ATL. ACQUAVIVA
590,725,12.25,,peso_4kg,MANNIAS Pamela,SF45,C.U.S. CAGLIARI
591,716,3398.24,,Marcia_10km,BATTAGLIA Lucia,SF40,ACQUADELA ASD
592,611,3229.24,,Marcia_10km,TATINI Alessandro,PM,ATLETICA FIRENZE MARATHON S.S.
