,punteggio-WA,prestazione,vento,disciplina,atleta,categoria,società
80,1094,61.2,,disco_1kg,OSAKUE Daisy oyemwenosa,SF,G.A. FIAMME GIALLE
81,1094,50.72,,400Hs_h91,GHEDINA Vittorio,PM,ATLETICA MENEGHINA
82,1093,107.68,,800m,PERNICI Francesco,PM,G.A. FIAMME GIALLE
83,1093,601.05,,3000st_h76,COLLI Gaia,SF,C.S. CARABINIERI SEZ. ATLETICA
84,1093,11.5,0.8,100m,OBIJIAKU Ugochinyere amanda,PF,A.S. ATLETICA VIRTUS LUCCA
85,1092,254.52,,1500m,CANAZZA Martina,PF,BRACCO ATLETICA
86,1091,1.87,,alto,TAVERNINI Asia,SF,G.S. FIAMME ORO PADOVA
87,1090,20.85,1.2,200m,CAPPELLETTI Filippo,PM,ATL. O.S.A. SARONNO LIB.
88,1090,13.87,-0.8,110Hs_h106-9.14,GHEDINA Vittorio,PM,ATLETICA MENEGHINA
89,1090,2692.24,,Marcia_10km,FIORINI Sofia,PF,ATL.LIBERTAS UNICUSANO LIVORNO
90,1090,2.2,,alto,FASSINOTTI Marco,SM35,C.S. AERONAUTICA MILITARE
91,1090,2.2,,alto,SIOLI Matteo,PM,EUROATLETICA 2002
92,1089,10.35,1.0,100m,BERNARDI Andrea,PM,ATL. RICCARDI MILANO 1946
93,1088,6.41,1.4,lungo,BATTISTELLA Arianna,SF,C.S. CARABINIERI SEZ. ATLETICA
94,1088,124.22,,800m,ZENONI Marta,SF,LUISS SSD A R.L.
95,1087,19.43,,peso_7kg,D'AGOSTINO Vincenzo,SM,G.S. AVIS BARLETTA A.S.D.
96,1087,107.89,,800m,LAZZARO Giovanni,PM,C.S. AERONAUTICA MILITARE
97,1087,124.28,,800m,SABBATINI Gaia,SF,G.S. FIAMME AZZURRE
98,1086,221.53,,1500m,RIVA Federico,SM,G.A. FIAMME GIALLE
99,1085,46.4,,400m,ACETI Vladimir,SM,G.A. FIAMME GIALLE
100,1085,10.36,1.0,100m,RANDAZZO Filippo,SM,G.A. FIAMME GIALLE
101,1085,53.07,,400m,TROIANI Virginia,SF,CUS PRO PATRIA MILANO
102,1084,604.77,,3000st_h76,CURTABBI Eleonora,SF,G.A. FIAMME GIALLE
103,1084,124.46,,800m,KABANGU Ngalula gloria,PF,C.S. ESERCITO
104,1083,50.96,,400Hs_h91,BERTONCELLI Giacomo,SM,ATL. INSIEME VERONA
105,1083,124.51,,800m,COLAJANNI Maria,SF,A.S.D. C.U.S. PALERMO
106,1083,124.48,,800m,COIRO Eloisa,SF,G.S. FIAMME AZZURRE
107,1082,10.37,1.0,100m,CECCARELLI Samuele,SM,G.S. FIAMME ORO PADOVA
108,1082,10.37,1.0,100m,TARDIOLI Junior,PM,ATL.STUD. RIETI ANDREA MILARDI
