prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
388.44,,6:28.44,0,NOVATI Davide,2004,AM,CUS INSUBRIA VARESE COMO,4 se- 2,Modena,2020-10-17,https://www.fidal.it/atleta/NOVATI-Davide/dquRk5OjbWg%3D,https://www.fidal.it/societa/CUS-INSUBRIA-VARESE-COMO/VA123
389.28,,6:29.28,0,NOVELLO Nicola,2003,AM,ATLETICA 2000,2 su- 1,Tolmezzo,2020-10-04,https://www.fidal.it/atleta/NOVELLO-Nicola/eayRk5micGk%3D,https://www.fidal.it/societa/ATLETICA-2000/UD110
389.62,,6:29.62,0,BOTROS Pietro,2004,AM,ATL.  CENTO TORRI PAVIA,1 su- 1,Milano,2020-09-05,https://www.fidal.it/atleta/BOTROS-Pietro/dqAAARl5afamU%3D,https://www.fidal.it/societa/ATL--CENTO-TORRI-PAVIA/PV110
390.06,,6:30.06,0,FERRARO Lorenzo,2004,AM,ATL. VARESINA MALPENSA,5 se- 2,Modena,2020-10-17,https://www.fidal.it/atleta/FERRARO-Lorenzo/drKRk5ejcGY%3D,https://www.fidal.it/societa/ATL--VARESINA-MALPENSA/VA864
390.32,,6:30.32,0,FABRI Alessio,2004,AM,RCF ROMA SUD,6 se- 2,Modena,2020-10-17,https://www.fidal.it/atleta/FABRI-Alessio/f62Rkpanamk%3D,https://www.fidal.it/societa/RCF-ROMA-SUD/RS195
390.47,,6:30.47,0,STALPICETTI Riccardo,2003,AM,RCF ROMA SUD,2 su- 1,Roma,2020-07-19,https://www.fidal.it/atleta/STALPICETTI-Riccardo/f6yRlJqgcWQ%3D,https://www.fidal.it/societa/RCF-ROMA-SUD/RS195
391.48,,6:31.48,0,NOVELLO Nicola,2003,AM,ATLETICA 2000,7 se- 2,Modena,2020-10-17,https://www.fidal.it/atleta/NOVELLO-Nicola/eayRk5micGk%3D,https://www.fidal.it/societa/ATLETICA-2000/UD110
391.84,,6:31.84,0,MAPELLI Enrico,2004,AM,BERGAMO STARS ATLETICA,1 se- 1,Mariano Comense,2020-09-27,https://www.fidal.it/atleta/MAPELLI-Enrico/dqmRl5uoa2o%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
392.18,,6:32.18,0,SALONIA Antonio livio,2003,AM,SIRACUSATLETICA,1 su- 1,Siracusa,2020-10-02,https://www.fidal.it/atleta/SALONIA-Antonio-livio/h7GRkpKmbGc%3D,https://www.fidal.it/societa/SIRACUSATLETICA/SR248
392.4,,6:32.40,0,ALMESMARI Omar oussama,2003,AM,CALCESTRUZZI CORRADINI EXCELS.,1 su- 1,Modena,2020-09-05,https://www.fidal.it/atleta/ALMESMARI-Omar-oussama/erGRkpahaGM%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
392.56,,6:32.56,0,NORIS Andrea,2004,AM,BERGAMO STARS ATLETICA,2 se- 1,Mariano Comense,2020-09-27,https://www.fidal.it/atleta/NORIS-Andrea/dqmRl5qmbWs%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
392.84000000000003,,6:32.84,0,FERRARO Lorenzo,2004,AM,ATL. VARESINA MALPENSA,2 se- 2,Mariano Comense,2020-09-27,https://www.fidal.it/atleta/FERRARO-Lorenzo/drKRk5ejcGY%3D,https://www.fidal.it/societa/ATL--VARESINA-MALPENSA/VA864
393.63,,6:33.63,0,FABRI Alessio,2004,AM,RCF ROMA SUD,2 su- 1,Roma,2020-10-11,https://www.fidal.it/atleta/FABRI-Alessio/f62Rkpanamk%3D,https://www.fidal.it/societa/RCF-ROMA-SUD/RS195
394.38,,6:34.38,0,SIMONE Emanuele,2003,AM,NUOVA ATLETICA ISERNIA,2 su- 1,Rieti,2020-10-04,https://www.fidal.it/atleta/SIMONE-Emanuele/g6mRkpOjbWM%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-ISERNIA/IS729
394.6,,6:34.60,0,ANDREIS Luca,2004,AM,EUROATLETICA 2002,3 se- 1,Mariano Comense,2020-09-27,https://www.fidal.it/atleta/ANDREIS-Luca/dq2RmJOkbWQ%3D,https://www.fidal.it/societa/EUROATLETICA-2002/MI352
394.71,,6:34.71,0,ANDREIS Luca,2004,AM,EUROATLETICA 2002,8 se- 2,Modena,2020-10-17,https://www.fidal.it/atleta/ANDREIS-Luca/dq2RmJOkbWQ%3D,https://www.fidal.it/societa/EUROATLETICA-2002/MI352
