prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
382.37,6:22.37,e,CAPANNA Vincenzo,2006,AM,ASD ARCA SPARANISE TRACK&FIELD,1 se- 1,Salerno,2023-07-01,https://www.fidal.it/atleta/CAPANNA-Vincenzo/f6qRkpama2M%3D,https://www.fidal.it/societa/ASD-ARCA-SPARANISE-TRACK&FIELD/CE111
382.38,6:22.38,e,VALOTTI Giacomo,2006,AM,ATL. VIRTUS CASTENEDOLO,3 su- 1,Rodengo Saiano,2023-05-28,https://www.fidal.it/atleta/VALOTTI-Giacomo/dqqRmJKmaGU%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
382.56,6:22.56,e,VALOTTI Giacomo,2006,AM,ATL. VIRTUS CASTENEDOLO,3 su- 1,Clusone,2023-09-09,https://www.fidal.it/atleta/VALOTTI-Giacomo/dqqRmJKmaGU%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
382.58,6:22.58,e,DI BISCEGLIE Davide,2007,AM,AMATORI ATL. ACQUAVIVA,1 su- 1,Roma,2023-09-23,https://www.fidal.it/atleta/DI-BISCEGLIE-Davide/hKmRkpiocWw%3D,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
382.62,6:22.62,e,D'INZILLO CARRANZA Diego,2007,AM,#ILOVERUN ATHLETIC TERNI,1 su- 1,Perugia,2023-05-27,https://www.fidal.it/atleta/D-INZILLO-CARRANZA-Diego/fqqRkpSla2s%3D,https://www.fidal.it/societa/_ILOVERUN-ATHLETIC-TERNI/TR040
382.9,6:22.90,e,GHILARDUCCI Andreas,2007,AM,ASD MAURINA OLIO CARLI,1 se- 1,Hoofddorp,2023-05-28,https://www.fidal.it/atleta/GHILARDUCCI-Andreas/daqRkpWncGc%3D,https://www.fidal.it/societa/ASD-MAURINA-OLIO-CARLI/IM029
383.07,6:23.07,e,CAFAGNA Thomas,2006,AM,SPORTIAMO,1 su- 1,San Biagio Di Callalta,2023-09-23,https://www.fidal.it/atleta/CAFAGNA-Thomas/eauRk5OgaWQ%3D,https://www.fidal.it/societa/SPORTIAMO/TS544
383.81,6:23.81,e,GRAD Ayman,2006,AM,U.S. ROGNO,1 su- 1,Rodengo Saiano,2023-07-04,https://www.fidal.it/atleta/GRAD-Ayman/dqmRmZafaGk%3D,https://www.fidal.it/societa/U-S--ROGNO/BG228
383.86,6:23.86,e,REATO Alessio,2007,AM,ASD ATLETICA BIOTEKNA,2 su- 1,Trieste,2023-06-04,https://www.fidal.it/atleta/REATO-Alessio/eK2Rk5Wgb2s%3D,https://www.fidal.it/societa/ASD-ATLETICA-BIOTEKNA/VE471
383.91,6:23.91,e,GALATI Pietro,2006,AM,ASSINDUSTRIA SPORT,3 su- 1,Perugia,2023-09-23,https://www.fidal.it/atleta/GALATI-Pietro/eKqRkpqlbmU%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT/PD140
384.87,6:24.87,e,GHILARDUCCI Andreas,2007,AM,ASD MAURINA OLIO CARLI,1 su- 1,Boissano,2023-06-17,https://www.fidal.it/atleta/GHILARDUCCI-Andreas/daqRkpWncGc%3D,https://www.fidal.it/societa/ASD-MAURINA-OLIO-CARLI/IM029
385.03,6:25.03,e,REATO Alessio,2007,AM,ASD ATLETICA BIOTEKNA,11 se- 2,Caorle,2023-06-23,https://www.fidal.it/atleta/REATO-Alessio/eK2Rk5Wgb2s%3D,https://www.fidal.it/societa/ASD-ATLETICA-BIOTEKNA/VE471
385.33,6:25.33,e,MORA Mathias,2006,AM,U.S. MALONNO,2 su- 1,Rodengo Saiano,2023-07-04,https://www.fidal.it/atleta/MORA-Mathias/dqqRmZOlaGQ%3D,https://www.fidal.it/societa/U-S--MALONNO/BS368
385.52,6:25.52,e,KLEISS Fabio,2007,AM,ATLETICA MOGLIANO,3 su- 1,Venezia,2023-06-13,https://www.fidal.it/atleta/KLEISS-Fabio/eKyRk5WlcGk%3D,https://www.fidal.it/societa/ATLETICA-MOGLIANO/TV338
385.59,6:25.59,e,LORENZO Gabriele,2007,AM,USD ELITE GIOVANI ATLETI,1 su- 1,Bari,2023-06-17,https://www.fidal.it/atleta/LORENZO-Gabriele/hKyRkpOocGg%3D,https://www.fidal.it/societa/USD-ELITE-GIOVANI-ATLETI/BA006
385.72,6:25.72,e,ORSI Augusto,2007,AM,G.S. ORECCHIELLA GARFAGNANA,1 se- 1,Pietrasanta,2023-05-20,https://www.fidal.it/atleta/ORSI-Augusto/fa6RkpKna2w%3D,https://www.fidal.it/societa/G-S--ORECCHIELLA-GARFAGNANA/LU103
386.24,6:26.24,e,MANZIN Giulio,2007,AM,SPORTIAMO,3 su- 1,Trieste,2023-06-04,https://www.fidal.it/atleta/MANZIN-Giulio/eauRk5SgbGg%3D,https://www.fidal.it/societa/SPORTIAMO/TS544
386.44,6:26.44,e,VALOTTI Giacomo,2006,AM,ATL. VIRTUS CASTENEDOLO,3 se- 1,Bergamo,2023-05-06,https://www.fidal.it/atleta/VALOTTI-Giacomo/dqqRmJKmaGU%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
386.45,6:26.45,e,FAZI Simone,2007,AM,ATL.STUD. RIETI ANDREA MILARDI,2 su- 1,Roma,2023-05-06,https://www.fidal.it/atleta/FAZI-Simone/f6uRkpSfcWo%3D,https://www.fidal.it/societa/ATL-STUD--RIETI-ANDREA-MILARDI/RI223
386.46,6:26.46,e,VALOTTI Giacomo,2006,AM,ATL. VIRTUS CASTENEDOLO,12 se- 2,Caorle,2023-06-23,https://www.fidal.it/atleta/VALOTTI-Giacomo/dqqRmJKmaGU%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
386.55,6:26.55,e,SANTINI Marco,2006,AM,ATL. ALESSANDRIA,1 su- 1,Alessandria,2023-06-03,https://www.fidal.it/atleta/SANTINI-Marco/dKmRk5uja2c%3D,https://www.fidal.it/societa/ATL--ALESSANDRIA/AL001
387.13,6:27.13,e,FAZI Simone,2007,AM,ATL.STUD. RIETI ANDREA MILARDI,4 su- 1,Perugia,2023-09-23,https://www.fidal.it/atleta/FAZI-Simone/f6uRkpSfcWo%3D,https://www.fidal.it/societa/ATL-STUD--RIETI-ANDREA-MILARDI/RI223
387.24,6:27.24,e,DESIDERA Nicodemo,2006,AM,ATLETICA RIVIERA DEL BRENTA,2 su- 1,San Biagio Di Callalta,2023-09-23,https://www.fidal.it/atleta/DESIDERA-Nicodemo/eK2RkpunaGw%3D,https://www.fidal.it/societa/ATLETICA-RIVIERA-DEL-BRENTA/VE473
387.48,6:27.48,e,SERVALLI Giovanni,2006,AM,G. ALPINISTICO VERTOVESE,4 su- 1,Rodengo Saiano,2023-05-28,https://www.fidal.it/atleta/SERVALLI-Giovanni/dqmRmJioaWc%3D,https://www.fidal.it/societa/G--ALPINISTICO-VERTOVESE/BG135
387.91,6:27.91,e,GHILARDUCCI Andreas,2007,AM,ASD MAURINA OLIO CARLI,1 su- 1,Campi Bisenzio,2023-09-23,https://www.fidal.it/atleta/GHILARDUCCI-Andreas/daqRkpWncGc%3D,https://www.fidal.it/societa/ASD-MAURINA-OLIO-CARLI/IM029
388.71,6:28.71,e,SANTINI Marco,2006,AM,ATL. ALESSANDRIA,1 su- 1,Donnas,2023-09-16,https://www.fidal.it/atleta/SANTINI-Marco/dKmRk5uja2c%3D,https://www.fidal.it/societa/ATL--ALESSANDRIA/AL001
388.78,6:28.78,e,GALATI Pietro,2006,AM,ASSINDUSTRIA SPORT,13 se- 2,Caorle,2023-06-23,https://www.fidal.it/atleta/GALATI-Pietro/eKqRkpqlbmU%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT/PD140
389.05,6:29.05,e,REATO Alessio,2007,AM,ASD ATLETICA BIOTEKNA,3 su- 1,Venezia,2023-04-30,https://www.fidal.it/atleta/REATO-Alessio/eK2Rk5Wgb2s%3D,https://www.fidal.it/societa/ASD-ATLETICA-BIOTEKNA/VE471
389.08,6:29.08,e,MORA Mathias,2006,AM,U.S. MALONNO,4 se- 1,Bergamo,2023-05-06,https://www.fidal.it/atleta/MORA-Mathias/dqqRmZOlaGQ%3D,https://www.fidal.it/societa/U-S--MALONNO/BS368
389.23,6:29.23,e,SPALLA Riccardo,2007,AM,A.S.D. ACCADEMIATLETICA,2 su- 1,Alessandria,2023-06-03,https://www.fidal.it/atleta/SPALLA-Riccardo/dKmRlJKkbmM%3D,https://www.fidal.it/societa/A-S-D--ACCADEMIATLETICA/AL006
389.25,6:29.25,e,ULIANA Cesare,2006,AM,ATL-ETICA SAN VENDEMIANO,3 su- 1,Venezia,2023-09-09,https://www.fidal.it/atleta/ULIANA-Cesare/eKyRk5qkb2o%3D,https://www.fidal.it/societa/ATL-ETICA-SAN-VENDEMIANO/TV406
389.46,6:29.46,e,SAVAIA Salvatore felipe,2006,AM,ASD LIB. MANTOVA MASCH-FEMM.,1 se- 1,Caorle,2023-06-23,https://www.fidal.it/atleta/SAVAIA-Salvatore-felipe/dq6RkpSja2g%3D,https://www.fidal.it/societa/ASD-LIB--MANTOVA-MASCH-FEMM-/MN043
389.49,6:29.49,e,DYKOPAVLENKO Nicola,2007,AM,ATLETICA TRENTO,1 se- 1,Bolzano,2023-06-10,https://www.fidal.it/atleta/DYKOPAVLENKO-Nicola/d6iRlJKfaWY%3D,https://www.fidal.it/societa/ATLETICA-TRENTO/TN101
389.56,6:29.56,e,BARON Alberto,2006,AM,ATL.VICENTINA,5 su- 1,Perugia,2023-09-23,https://www.fidal.it/atleta/BARON-Alberto/eK6Rk5SfbWs%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
389.69,6:29.69,e,DE CHIARA Marco,2006,AM,CUS PRO PATRIA MILANO,6 su- 1,Perugia,2023-09-23,https://www.fidal.it/atleta/DE-CHIARA-Marco/dq2RmpSkaWo%3D,https://www.fidal.it/societa/CUS-PRO-PATRIA-MILANO/MI077
389.76,6:29.76,e,SAVAIA Salvatore felipe,2006,AM,ASD LIB. MANTOVA MASCH-FEMM.,5 se- 1,Bergamo,2023-05-06,https://www.fidal.it/atleta/SAVAIA-Salvatore-felipe/dq6RkpSja2g%3D,https://www.fidal.it/societa/ASD-LIB--MANTOVA-MASCH-FEMM-/MN043
389.77,6:29.77,e,LANDI Luca,2006,AM,BERGAMO STARS ATLETICA,1 su- 1,Cinisello Balsamo,2023-06-18,https://www.fidal.it/atleta/LANDI-Luca/dqmRmJakbWg%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
389.79,6:29.79,e,AMBRUSCHI Davide,2007,AM,ATL. BERGAMO 1959 ORIOCENTER,2 se- 2,Bergamo,2023-05-06,https://www.fidal.it/atleta/AMBRUSCHI-Davide/dqmRmJmobmM%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-ORIOCENTER/BG003
389.9,6:29.90,e,DOLCI Leonardo,2006,AM,TIRRENO ATLETICA CIVITAVECCHIA,14 se- 2,Caorle,2023-06-23,https://www.fidal.it/atleta/DOLCI-Leonardo/f6yRk5SoamU%3D,https://www.fidal.it/societa/TIRRENO-ATLETICA-CIVITAVECCHIA/RM068
390.28,6:30.28,e,MOGNATO Simone,2007,AM,ATLETICA RIVIERA DEL BRENTA,4 su- 1,Venezia,2023-04-30,https://www.fidal.it/atleta/MOGNATO-Simone/eK2Rk5Woa2c%3D,https://www.fidal.it/societa/ATLETICA-RIVIERA-DEL-BRENTA/VE473
390.66,6:30.66,e,CAPANNA Vincenzo,2006,AM,ASD ARCA SPARANISE TRACK&FIELD,1 se- 1,Salerno,2023-06-03,https://www.fidal.it/atleta/CAPANNA-Vincenzo/f6qRkpama2M%3D,https://www.fidal.it/societa/ASD-ARCA-SPARANISE-TRACK&FIELD/CE111
390.71,6:30.71,e,ROSSI Pietro giovanni,2007,AM,ATL. RICCARDI MILANO 1946,1 su- 1,Beinasco,2023-09-23,https://www.fidal.it/atleta/ROSSI-Pietro-giovanni/dq2RmJqha2M%3D,https://www.fidal.it/societa/ATL--RICCARDI-MILANO-1946/MI080
390.72,6:30.72,e,REATO Alessio,2007,AM,ASD ATLETICA BIOTEKNA,3 su- 1,San Biagio Di Callalta,2023-09-23,https://www.fidal.it/atleta/REATO-Alessio/eK2Rk5Wgb2s%3D,https://www.fidal.it/societa/ASD-ATLETICA-BIOTEKNA/VE471
390.87,6:30.87,e,AMBRUSCHI Davide,2007,AM,ATL. BERGAMO 1959 ORIOCENTER,7 su- 1,Perugia,2023-09-23,https://www.fidal.it/atleta/AMBRUSCHI-Davide/dqmRmJmobmM%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-ORIOCENTER/BG003
390.88,6:30.88,e,ALAIMO Antonio,2007,AM,SIRACUSATLETICA,8 su- 1,Perugia,2023-09-23,https://www.fidal.it/atleta/ALAIMO-Antonio/h7GRkpWlaGY%3D,https://www.fidal.it/societa/SIRACUSATLETICA/SR248
390.9,6:30.90,e,FRATNIK Giulio,2006,AM,TRIESTE ATLETICA,4 su- 1,Trieste,2023-06-04,https://www.fidal.it/atleta/FRATNIK-Giulio/eauRk5SocWU%3D,https://www.fidal.it/societa/TRIESTE-ATLETICA/TS044
391.16,6:31.16,e,BOLDARA Davide,2006,AM,SAFATLETICA PIEMONTE ASD,3 su- 1,Alessandria,2023-06-03,https://www.fidal.it/atleta/BOLDARA-Davide/dK6Rl5amaGg%3D,https://www.fidal.it/societa/SAFATLETICA-PIEMONTE-ASD/TO226
