prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
4631.0,,BIANCO Simone,1997,JM,S.S. TRIONFO LIGURE,2 su- 1,Genova,2016-04-24,https://www.fidal.it/atleta/BIANCO-Simone/dayRkpKlb2U%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
4386.0,,COMEL Alessio,1997,JM,UNIONE SPORTIVA ALBATESE ASD,6 su- 1,Busto Arsizio,2016-04-24,https://www.fidal.it/atleta/COMEL-Alessio/dquRkpmja2k%3D,https://www.fidal.it/societa/UNIONE-SPORTIVA-ALBATESE-ASD/CO546
4350.0,,BONACINA Davide,1997,JM,POL. BELLANO GALPERTI GROUP,7 su- 1,Busto Arsizio,2016-04-24,https://www.fidal.it/atleta/BONACINA-Davide/dquRkpajamc%3D,https://www.fidal.it/societa/POL--BELLANO-GALPERTI-GROUP/CO034
4178.0,,GALLO Domenico,1997,JM,IDEATLETICA AURORA,3 fi- 1,Salerno,2016-04-24,https://www.fidal.it/atleta/GALLO-Domenico/gK2RkpSncWU%3D,https://www.fidal.it/societa/IDEATLETICA-AURORA/SA127
4149.0,,BROYANOVSKYY Kyrylo,1998,JM,A.S.D.  ATL. VIS NOVA,4 fi- 1,Salerno,2016-04-24,https://www.fidal.it/atleta/BROYANOVSKYY-Kyrylo/gK2RkpSmb2Q%3D,https://www.fidal.it/societa/A-S-D--ATL--VIS-NOVA/SA126
4120.0,,SANCILLES Davide,1998,JM,A.S.D. U.S. ACLI MARSALA,1 su- 1,Trapani,2016-09-01,https://www.fidal.it/atleta/SANCILLES-Davide/h7KRkpKnaWs%3D,https://www.fidal.it/societa/A-S-D--U-S--ACLI-MARSALA/TP143
4086.0,,SANVITO Pierpaolo,1998,JM,GSD ATLETICA CHIETI,5 su- 1,Osimo,2016-04-24,https://www.fidal.it/atleta/SANVITO-Pierpaolo/gaiRk5enaGk%3D,https://www.fidal.it/societa/GSD-ATLETICA-CHIETI/CH150
3869.0,,VENETO Fabio,1997,JM,S.S. VITTORIO ALFIERI ASTI,4 su- 1,Santhia,2016-04-24,https://www.fidal.it/atleta/VENETO-Fabio/dKuRk5ekamw%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
3831.0,,CERRI Alessandro,1997,JM,UNIONE GIOVANE BIELLA,2 su- 1,Santhia,2016-10-22,https://www.fidal.it/atleta/CERRI-Alessandro/dKAAARk5ulb2w%3D,https://www.fidal.it/societa/UNIONE-GIOVANE-BIELLA/VC002
3826.0,,DE VITIS Niccolo',1998,JM,PROSPORT ATL. FIRENZE,7 su- 1,Piacenza,2016-04-17,https://www.fidal.it/atleta/DE-VITIS-Niccolo-/faqRkpOmaWw%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
3812.0,,PASAHOL Jernie,1998,JM,ATL.CSAIN PERUGIA,6 su- 1,Osimo,2016-04-24,https://www.fidal.it/atleta/PASAHOL-Jernie/fqmRkpOiaGg%3D,https://www.fidal.it/societa/ATL-CSAIN-PERUGIA/PG020
3563.0,,VERRONE Vincenzo,1997,JM,A.S.D. ASTRO 2000 BN-AGROPOLI,5 fi- 1,Salerno,2016-04-24,https://www.fidal.it/atleta/VERRONE-Vincenzo/gK2RkpSjbWs%3D,https://www.fidal.it/societa/A-S-D--ASTRO-2000-BN-AGROPOLI/BN286
3390.0,,BERTOGLIO Alex,1998,JM,C.S.S. LEONARDO DA VINCI,3 su- 1,Gorizia,2016-04-24,https://www.fidal.it/atleta/BERTOGLIO-Alex/iaiRk5Olbmw%3D,https://www.fidal.it/societa/C-S-S--LEONARDO-DA-VINCI/BZ071
3371.0,,CAPPELLO Marco,1998,JM,A.S.D. U.S. ACLI MARSALA,2 su- 1,Trapani,2016-09-01,https://www.fidal.it/atleta/CAPPELLO-Marco/h7KRkpOgcGQ%3D,https://www.fidal.it/societa/A-S-D--U-S--ACLI-MARSALA/TP143
3274.0,,PACE Vincenzo,1998,JM,A.S.D. ASTRO 2000 BN-AGROPOLI,6 fi- 1,Salerno,2016-04-24,https://www.fidal.it/atleta/PACE-Vincenzo/gKqRkpOhamc%3D,https://www.fidal.it/societa/A-S-D--ASTRO-2000-BN-AGROPOLI/BN286
3189.0,,DE MARCO Giacomo,1998,JM,CENTRO ATLETICA PIOMBINO,8 su- 1,Piacenza,2016-04-17,https://www.fidal.it/atleta/DE-MARCO-Giacomo/fayRkpOjbmY%3D,https://www.fidal.it/societa/CENTRO-ATLETICA-PIOMBINO/LI038
3168.0,,POPONE Marco,1997,JM,ATLETICA BARBAS,1 su- 1,Siderno,2016-04-10,https://www.fidal.it/atleta/POPONE-Marco/hquRkpKjbms%3D,https://www.fidal.it/societa/ATLETICA-BARBAS/RC366
