prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
3895.0,,ZAMBOLI Giuseppe,1987,JM,AGG. HINNA,7 fi- 1,Salerno,2005-04-25,https://www.fidal.it/atleta/ZAMBOLI-Giuseppe/gKiRlZSkcGg%3D,https://www.fidal.it/societa/AGG--HINNA/NA014
3861.0,,GRILLI Alessio,1986,JM,PRO PATRIA MILANO,30 su- 1,Fano,2005-05-22,https://www.fidal.it/atleta/GRILLI-Alessio/dq2Rk5OicWw%3D,https://www.fidal.it/societa/PRO-PATRIA-MILANO/MI077
3861.0,,PERESSINI Johnny,1987,JM,ATLETICA UDINESE MALIGNANI,4 su- 1,Udine,2005-10-15,https://www.fidal.it/atleta/PERESSINI-Johnny/eayRkpugamQ%3D,https://www.fidal.it/societa/ATLETICA-UDINESE-MALIGNANI/UD030
3858.0,,ESPOSITO Mario,1981,SM,AGG. HINNA,8 fi- 1,Salerno,2005-04-25,https://www.fidal.it/atleta/ESPOSITO-Mario/gKiRkpumaWU%3D,https://www.fidal.it/societa/AGG--HINNA/NA014
3858.0,,CONTO Alessio,1986,JM,ATLETICA CANAVESANA,11 su- 1,Torino,2005-05-01,https://www.fidal.it/atleta/CONTO-Alessio/dK6Rk5mnbWo%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
3851.0,,REVOLON Giacomo,1987,JM,ATLETICA STRONESE XELION,7 su- 1,Vercelli,2005-10-23,https://www.fidal.it/atleta/REVOLON-Giacomo/dKAAARk5ikcWY%3D,https://www.fidal.it/societa/ATLETICA-STRONESE-XELION/VC019
3724.0,,GRILLI Alessio,1986,JM,PRO PATRIA MILANO,18 su- 1,Milano,2005-05-01,https://www.fidal.it/atleta/GRILLI-Alessio/dq2Rk5OicWw%3D,https://www.fidal.it/societa/PRO-PATRIA-MILANO/MI077
3716.0,,CALARCO Sergio,1980,SM,NUOVA ATLETICA FIAMMA ARANCA,4 su- 1,Reggio Calabria,2005-04-24,https://www.fidal.it/atleta/CALARCO-Sergio/hqiRkpiiaGQ%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-FIAMMA-ARANCA/RC032
3709.0,,AMBROSECCHIA Giuseppe,1987,JM,POL. ROCCO SCOTELLARO MT,5 su- 1,Matera,2005-04-17,https://www.fidal.it/atleta/AMBROSECCHIA-Giuseppe/haiRkpqmcWU%3D,https://www.fidal.it/societa/POL--ROCCO-SCOTELLARO-MT/MT023
3708.0,,CAZZANIGA Alberto,1977,SM,ATLETICA VERCELLI 78,46 su- 1,Forli,2005-10-02,https://www.fidal.it/atleta/CAZZANIGA-Alberto/dqiRkpmgbmQ%3D,https://www.fidal.it/societa/ATLETICA-VERCELLI-78/VC004
3685.0,,CICERI Alessandro,1987,JM,ATL. IMOLA SACMI AVIS,10 su- 1,Forli,2005-05-01,https://www.fidal.it/atleta/CICERI-Alessandro/eqiRlZOfaWY%3D,https://www.fidal.it/societa/ATL--IMOLA-SACMI-AVIS/BO014
3664.0,,POLITI Gaetano,1986,JM,ASI ATL.MINNITI,47 su- 1,Forli,2005-10-02,https://www.fidal.it/atleta/POLITI-Gaetano/hqiRk5Wob2Q%3D,https://www.fidal.it/societa/ASI-ATL-MINNITI/RC033
3657.0,,CASTALDO Davide,1980,SM,CSU IDEATLETICA AURORA M,9 fi- 1,Salerno,2005-04-25,https://www.fidal.it/atleta/CASTALDO-Davide/gKiRk5OmaWc%3D,https://www.fidal.it/societa/CSU-IDEATLETICA-AURORA-M/SA127
3650.0,,LUCARELLI Renato,1985,PM,CSU IDEATLETICA AURORA M,10 fi- 1,Salerno,2005-04-25,https://www.fidal.it/atleta/LUCARELLI-Renato/gKiRlJagbGg%3D,https://www.fidal.it/societa/CSU-IDEATLETICA-AURORA-M/SA127
3609.0,,RICCO Marco,1981,SM,CSU IDEATLETICA AURORA M,11 fi- 1,Salerno,2005-04-25,https://www.fidal.it/atleta/RICCO-Marco/gKiRk5afaGs%3D,https://www.fidal.it/societa/CSU-IDEATLETICA-AURORA-M/SA127
3607.0,,BITONNESE Giovanni,1987,JM,ATHLETIC AVION CLUB,12 fi- 1,Salerno,2005-04-25,https://www.fidal.it/atleta/BITONNESE-Giovanni/gKiRlJila2g%3D,https://www.fidal.it/societa/ATHLETIC-AVION-CLUB/AV208
3606.0,,MELANI Marco,1980,SM,ULIVETO UISP ATLETICA SIENA,8 se- 1,Firenze,2005-05-01,https://www.fidal.it/atleta/MELANI-Marco/faiRk5KgaGw%3D,https://www.fidal.it/societa/ULIVETO-UISP-ATLETICA-SIENA/SI043
3595.0,,ESPOSITO Diego,1987,JM,C.S. SCOLASTICO M.GALDI 1999,13 fi- 1,Salerno,2005-04-25,https://www.fidal.it/atleta/ESPOSITO-Diego/gKiRlZKnaWY%3D,https://www.fidal.it/societa/C-S--SCOLASTICO-M-GALDI-1999/SA060
3580.0,,PETRONE Gianluca,1972,SM,G.A. TERME G. CASTELLO,48 su- 1,Forli,2005-10-02,https://www.fidal.it/atleta/PETRONE-Gianluca/f6iRkpOmaGQ%3D,https://www.fidal.it/societa/G-A--TERME-G--CASTELLO/RM019
3574.0,,SCIACOVELLI Francesco,1981,SM,CUS BARI,31 su- 1,Fano,2005-05-22,https://www.fidal.it/atleta/SCIACOVELLI-Francesco/hKiSmJiocGQ%3D,https://www.fidal.it/societa/CUS-BARI/BA007
3553.0,,PALOMBA Giovanni,1986,JM,ATHLETIC AVION CLUB,14 fi- 1,Salerno,2005-04-25,https://www.fidal.it/atleta/PALOMBA-Giovanni/gKiRlJOob2M%3D,https://www.fidal.it/societa/ATHLETIC-AVION-CLUB/AV208
3549.0,,OTTOZ Patrick,1971,SM,ATLETICA SANDRO CALVESI,1 su- 1,Aosta,2005-10-15,https://www.fidal.it/atleta/OTTOZ-Patrick/jKiRkpKfbWU%3D,https://www.fidal.it/societa/ATLETICA-SANDRO-CALVESI/AO004
