prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
3840.0,,SENECI Greta,1999,AF,ATL. BRESCIA 1950,24 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/SENECI-Greta/dqqRl5WocWg%3D,https://www.fidal.it/societa/ATL--BRESCIA-1950/BS181
3821.0,,ACQUADRO PACERA Giulia,1999,AF,UNIONE GIOVANE BIELLA,2 su- 1,Santhia,2016-04-24,https://www.fidal.it/atleta/ACQUADRO-PACERA-Giulia/dKAAARlJOmaWo%3D,https://www.fidal.it/societa/UNIONE-GIOVANE-BIELLA/VC002
3821.0,,CASTELLANI Francesca,1999,AF,ATL.CSAIN PERUGIA,25 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/CASTELLANI-Francesca/fqmRkpOfbmg%3D,https://www.fidal.it/societa/ATL-CSAIN-PERUGIA/PG020
3808.0,,SALA Alessia,2000,AF,ATL. LECCO-COLOMBO COSTRUZ.,26 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/SALA-Alessia/dquRk5SmaGc%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
3778.0,,BIONDI Margherita,1999,AF,BRIXIA ATLETICA 2014 A.S.D.,27 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/BIONDI-Margherita/dqqRl5akamQ%3D,https://www.fidal.it/societa/BRIXIA-ATLETICA-2014-A-S-D-/BS786
3775.0,,SENECI Greta,1999,AF,ATL. BRESCIA 1950,5 su- 1,Busto Arsizio,2016-04-24,https://www.fidal.it/atleta/SENECI-Greta/dqqRl5WocWg%3D,https://www.fidal.it/societa/ATL--BRESCIA-1950/BS181
3770.0,,SPINELLI Gerardina,2000,AF,A.S.D. ASTRO 2000 BN-AGROPOLI,1 su- 1,Agropoli,2016-07-16,https://www.fidal.it/atleta/SPINELLI-Gerardina/gK2RkpKhaWk%3D,https://www.fidal.it/societa/A-S-D--ASTRO-2000-BN-AGROPOLI/BN286
3752.0,,DELL'ORTO Martina,2000,AF,TEAM-A LOMBARDIA,6 su- 1,Busto Arsizio,2016-04-24,https://www.fidal.it/atleta/DELL-ORTO-Martina/dq2RlJWmb2g%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
3752.0,,SPINELLI Gerardina,2000,AF,A.S.D. ASTRO 2000 BN-AGROPOLI,28 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/SPINELLI-Gerardina/gK2RkpKhaWk%3D,https://www.fidal.it/societa/A-S-D--ASTRO-2000-BN-AGROPOLI/BN286
3732.0,,BEDODI Chiara,1999,AF,C.U.S. PARMA,29 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/BEDODI-Chiara/eq6RkpOibWQ%3D,https://www.fidal.it/societa/C-U-S--PARMA/PR068
3710.0,,BOMBARA Corinna,1999,AF,ATLETICA CANAVESANA,2 se- 1,Asti,2016-07-17,https://www.fidal.it/atleta/BOMBARA-Corinna/dK6RlZSmbms%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
3702.0,,SCARDOVI Rebecca,2000,AF,ATL. LUGO,7 su- 1,Vicenza,2016-09-10,https://www.fidal.it/atleta/SCARDOVI-Rebecca/eqAAARkpOmamc%3D,https://www.fidal.it/societa/ATL--LUGO/RA093
3701.0,,FERRO Francesca,1999,AF,S.S. TRIONFO LIGURE,3 se- 1,Asti,2016-07-17,https://www.fidal.it/atleta/FERRO-Francesca/dayRkpOlbGg%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
3696.0,,CERVARO Anna,1999,AF,CORPOLIBERO ATHLETICS TEAM,6 su- 1,Gorizia,2016-04-24,https://www.fidal.it/atleta/CERVARO-Anna/eKqRkpajaGk%3D,https://www.fidal.it/societa/CORPOLIBERO-ATHLETICS-TEAM/PD197
