disciplina,tempo,vento,atleta,anno,società,posizione,luogo,data,link_atleta,link_società,categoria,prestazione,cronometraggio
400m (I),52.68,,COIRO Eloisa,2000,G.S. FIAMME AZZURRE,1 se- 2,Ancona,2025-01-18,https://www.fidal.it/atleta/COIRO-Eloisa/f6yRk5mjaGk%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002,SF,52.68,e
400m (P),52.73,,BURATTIN Ilaria,1994,CUS PRO PATRIA MILANO,4 se- 3,La Chaux-de-fonds,2024-07-14,https://www.fidal.it/atleta/BURATTIN-Ilaria/dq2Rk5OncWU%3D,https://www.fidal.it/societa/CUS-PRO-PATRIA-MILANO/MI077,SF,52.73,e
400m (P),52.90,,CHIGBOLU Maria benedicta,1989,C.S. ESERCITO,4 ba- 2,La Spezia,2024-06-29,https://www.fidal.it/atleta/CHIGBOLU-Maria-benedicta/f6iRmJufbGU%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052,SF35,52.9,e
400m (P),52.96,,ROSSI Camilla,2004,TOSCANA ATL.EMPOLI NISSAN,1 fi- 1,Rieti,2024-07-27,https://www.fidal.it/atleta/ROSSI-Camilla/faqRkpujamY%3D,https://www.fidal.it/societa/TOSCANA-ATL-EMPOLI-NISSAN/FI007,PF,52.96,e
400m (P),53.13,,CAVALIERI Anna,1999,ASD LA FRATELLANZA 1874,4 ba- 1,La Spezia,2024-06-29,https://www.fidal.it/atleta/CAVALIERI-Anna/eqmRkpKib2k%3D,https://www.fidal.it/societa/ASD-LA-FRATELLANZA-1874/MO052,SF,53.13,e
400m (P),53.27,,LUKUDO Raphaela boaheng,1994,C.S. ESERCITO,2 se- 4,Brescia,2024-06-16,https://www.fidal.it/atleta/LUKUDO-Raphaela-boaheng/eqiRlpmkaGc%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052,SF,53.27,e
400m (I),53.68,,OLIVIERI Linda,1998,G.S. FIAMME ORO PADOVA,1 se- 2,Padova,2025-02-08,https://www.fidal.it/atleta/OLIVIERI-Linda/dK2Rk5mnbGQ%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131,SF,53.68,e
400m (I),53.73,,VIANELLI Clarissa,2005,POLISPORT. NOVATLETICA CHIERI,1 se- 1,Padova,2025-01-18,https://www.fidal.it/atleta/VIANELLI-Clarissa/dK6Rl5KkaGY%3D,https://www.fidal.it/societa/POLISPORT--NOVATLETICA-CHIERI/TO076,PF,53.73,e
400m (I),54.22,,SARTORI Rebecca,1997,G.S. FIAMME ORO PADOVA,1 se- 1,Padova,2025-01-26,https://www.fidal.it/atleta/SARTORI-Rebecca/eK6RkpSjaWw%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131,SF,54.22,e
400m (I),54.39,,MARCHIANDO Eleonora,1997,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Padova,2025-02-02,https://www.fidal.it/atleta/MARCHIANDO-Eleonora/jKiRlJWob2c%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011,SF,54.39,e
