tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
59.4,,DI STEFANO Pier luca,1985,SM,A.S. DILETT. ATL.VILLAFRANCA,1 su- 1,Messina,2008-06-14,https://www.fidal.it/atleta/DI-STEFANO-Pier-luca/h6iRlpSoa2c%3D,https://www.fidal.it/societa/A-S--DILETT--ATL-VILLAFRANCA/ME102
59.55,,CAMASCHELLA Gian luca,1971,SM35,TEAM ATLETICO-MERCURIO NOVARA,4 su- 1,Torino,2008-07-06,https://www.fidal.it/atleta/CAMASCHELLA-Gian-luca/dKiRkpKjcGU%3D,https://www.fidal.it/societa/TEAM-ATLETICO-MERCURIO-NOVARA/NO020
59.57,,CALLIGARO Andrea,1989,JM,ATLETICA GORIZIA CA. RI. FVG,2 su- 1,Gorizia,2008-04-20,https://www.fidal.it/atleta/CALLIGARO-Andrea/eamRkpihaGQ%3D,https://www.fidal.it/societa/ATLETICA-GORIZIA-CA--RI--FVG/GO050
59.57,,CIRILLO Pasquale,1990,JM,A.S.D. AGG. HINNA,3 su- 1,Salerno,2008-07-06,https://www.fidal.it/atleta/CIRILLO-Pasquale/gKiRlZSoamQ%3D,https://www.fidal.it/societa/A-S-D--AGG--HINNA/NA014
59.58,,GRABBI Daniele,1987,PM,C. U. S. TORINO,5 su- 1,Torino,2008-07-06,https://www.fidal.it/atleta/GRABBI-Daniele/dK6Rk5ujamo%3D,https://www.fidal.it/societa/C--U--S--TORINO/TO001
59.58,,RE Emanuele,1992,AM,ATLETICA FABRIANO - OSIMO,1 se- 1,Fermo,2008-07-29,https://www.fidal.it/atleta/RE-Emanuele/e6iRk5OocWQ%3D,https://www.fidal.it/societa/ATLETICA-FABRIANO-OSIMO/AN037
59.62,,ELIA Marco,1990,JM,S.S.FIAMMA ATL.CATANZARO,1 su- 1,Reggio Cal,2008-06-08,https://www.fidal.it/atleta/ELIA-Marco/hqiRk5eoa2k%3D,https://www.fidal.it/societa/S-S-FIAMMA-ATL-CATANZARO/CZ010
59.5,,POGGIANELLA Riccardo,1989,JM,ATL. STUDENTESCA CA.RI.RI,1 su- 1,Tivoli,2008-05-31,https://www.fidal.it/atleta/POGGIANELLA-Riccardo/f6iRl5KocGw%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
59.66,,D'ANGELO Luigi,1990,JM,A.S.D.  ATL. MARANO,4 su- 1,Salerno,2008-07-06,https://www.fidal.it/atleta/D-ANGELO-Luigi/gKiRlZmkcWs%3D,https://www.fidal.it/societa/A-S-D--ATL--MARANO/NA019
59.69,,D'ANGELO Luigi,1990,JM,A.S.D.  ATL. MARANO,4 se- 1,Marano Di Napoli,2008-05-18,https://www.fidal.it/atleta/D-ANGELO-Luigi/gKiRlZmkcWs%3D,https://www.fidal.it/societa/A-S-D--ATL--MARANO/NA019
