prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
16.85,+0.5,16.85,e,ZORZI Ingeborg,1948,SF65,SPORTCLUB MERANO,1 su- 1,Arezzo,2016-07-08,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
20.06,+0.4,20.06,e,BELLI Eliana,1956,SF60,ATLETICA ALMA JUVENTUS FANO,1 se- 1,Osimo,2016-09-03,https://www.fidal.it/atleta/BELLI-Eliana/e6yRkpOhb2U%3D,https://www.fidal.it/societa/ATLETICA-ALMA-JUVENTUS-FANO/PU020
21.86,+1.0,21.86,e,VERONESI Sergio,1937,SM80,S.E.F. VIRTUS EMILSIDER BO,1 se- 2,Mantova,2017-06-03,https://www.fidal.it/atleta/VERONESI-Sergio/dqiRlpOncGs%3D,https://www.fidal.it/societa/S-E-F--VIRTUS-EMILSIDER-BO/BO007
22.09,+0.1,22.09,e,VERONESI Sergio,1937,SM80,S.E.F. VIRTUS EMILSIDER BO,1 su- 1,Orvieto,2017-07-07,https://www.fidal.it/atleta/VERONESI-Sergio/dqiRlpOncGs%3D,https://www.fidal.it/societa/S-E-F--VIRTUS-EMILSIDER-BO/BO007
25.35,+0.1,25.35,e,CAROLLA Guido,1937,SM80,AS RUNNING CLUB,2 su- 1,Orvieto,2017-07-07,https://www.fidal.it/atleta/CAROLLA-Guido/hKiSmZqjcWM%3D,https://www.fidal.it/societa/AS-RUNNING-CLUB/LE389
16.58,-0.4,16.58,e,MARTONE Annunziata,1956,SF60,ASD U.S. ATERNO PESCARA,1 su- 1,Orvieto,2017-07-07,https://www.fidal.it/atleta/MARTONE-Annunziata/gauRkpKkbms%3D,https://www.fidal.it/societa/ASD-U-S--ATERNO-PESCARA/PE001
17.31,+1.0,17.31,e,ZORZI Ingeborg,1948,SF65,SPORTCLUB MERANO,3 su- 1,Aarhus,2017-07-27,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
17.5,+0.0,17.50,e,ZORZI Ingeborg,1948,SF65,SPORTCLUB MERANO,2 se- 1,Mantova,2017-06-03,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
17.63,-0.4,17.63,e,ZORZI Ingeborg,1948,SF65,SPORTCLUB MERANO,1 su- 1,Orvieto,2017-07-07,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
21.28,-0.9,21.28,e,VERONESI Sergio,1937,SM80,S.E.F. VIRTUS EMILSIDER BO,1 se- 1,Arezzo,2018-06-03,https://www.fidal.it/atleta/VERONESI-Sergio/dqiRlpOncGs%3D,https://www.fidal.it/societa/S-E-F--VIRTUS-EMILSIDER-BO/BO007
21.45,-1.4,21.45,e,VERONESI Sergio,1937,SM80,S.E.F. VIRTUS EMILSIDER BO,1 su- 1,Arezzo,2018-06-29,https://www.fidal.it/atleta/VERONESI-Sergio/dqiRlpOncGs%3D,https://www.fidal.it/societa/S-E-F--VIRTUS-EMILSIDER-BO/BO007
21.78,-0.9,21.78,e,MINOPOLI Ernesto,1933,SM85,AMATORI MASTERS NOVARA,2 se- 1,Arezzo,2018-06-03,https://www.fidal.it/atleta/MINOPOLI-Ernesto/dKiRk5OgbWU%3D,https://www.fidal.it/societa/AMATORI-MASTERS-NOVARA/NO002
