prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
13.92,+0.8,13.92,0,LUCCHI CASADEI Nicola,1990,AM,ATL. ENDAS  CESENA,1 fi- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/LUCCHI-CASADEI-Nicola/eqiRlZSnb2U%3D,https://www.fidal.it/societa/ATL--ENDAS-CESENA/FC049
14.01,,14.01,0,MANTOVANI Giovanni,1990,AM,SPORT ATL. FERMO,2 ba- 2,Belgrado,2007-07-23,https://www.fidal.it/atleta/MANTOVANI-Giovanni/e6iRk5elcGQ%3D,https://www.fidal.it/societa/SPORT-ATL--FERMO/FM003
14.04,+1.1,14.04,0,MANTOVANI Giovanni,1990,AM,SPORT ATL. FERMO,1 se- 1,Bressanone,2007-05-27,https://www.fidal.it/atleta/MANTOVANI-Giovanni/e6iRk5elcGQ%3D,https://www.fidal.it/societa/SPORT-ATL--FERMO/FM003
14.05,+0.6,14.05,0,MANTOVANI Giovanni,1990,AM,SPORT ATL. FERMO,5 fi- 1,Belgrado,2007-07-25,https://www.fidal.it/atleta/MANTOVANI-Giovanni/e6iRk5elcGQ%3D,https://www.fidal.it/societa/SPORT-ATL--FERMO/FM003
14.14,-1.1,14.14,0,LUCCHI CASADEI Nicola,1990,AM,ATL. ENDAS  CESENA,1 su- 1,Scandiano,2007-09-29,https://www.fidal.it/atleta/LUCCHI-CASADEI-Nicola/eqiRlZSnb2U%3D,https://www.fidal.it/societa/ATL--ENDAS-CESENA/FC049
14.28,+1.5,14.28,0,MANTOVANI Giovanni,1990,AM,SPORT ATL. FERMO,1 se- 3,Alessandria,2007-05-01,https://www.fidal.it/atleta/MANTOVANI-Giovanni/e6iRk5elcGQ%3D,https://www.fidal.it/societa/SPORT-ATL--FERMO/FM003
14.29,+0.2,14.29,0,MANTOVANI Giovanni,1990,AM,SPORT ATL. FERMO,1 ba- 2,Osimo,2007-06-23,https://www.fidal.it/atleta/MANTOVANI-Giovanni/e6iRk5elcGQ%3D,https://www.fidal.it/societa/SPORT-ATL--FERMO/FM003
14.3,+0.8,14.30,0,DEVARTI Samuele,1990,AM,A.S.D.  C.U.S. GENOVA,2 fi- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/DEVARTI-Samuele/daiUlpWlaWU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
14.31,+0.7,14.31,0,CALVI Michele,1990,AM,G.S.SELF ATL. MONTANARI GRUZZA,1 se- 1,Bressanone,2007-05-27,https://www.fidal.it/atleta/CALVI-Michele/eqiRlZWkb2c%3D,https://www.fidal.it/societa/G-S-SELF-ATL--MONTANARI-GRUZZA/RE105
14.33,+0.4,14.33,0,MANTOVANI Giovanni,1990,AM,SPORT ATL. FERMO,1 se- 1,Modena,2007-04-25,https://www.fidal.it/atleta/MANTOVANI-Giovanni/e6iRk5elcGQ%3D,https://www.fidal.it/societa/SPORT-ATL--FERMO/FM003
