,punti TOT,lungo,lungo p,200m,200m p,100Hs_h84-8.50,100Hs_h84-8.50 p,asta,asta p,giavellotto_600g,giavellotto_600g p,atleta,link_atleta
36,3198.0,5.69,756.0,25.79,816.0,14.76,874.0,1.9,191.0,34.45,561.0,SCARDOVI Rebecca,https://www.fidal.it/atleta/SCARDOVI-Rebecca/eqAAARkpOmamc%3D
37,3186.0,5.33,651.0,27.41,678.0,15.82,736.0,3.6,803.0,21.58,318.0,AROSIO Martina,https://www.fidal.it/atleta/AROSIO-Martina/dq2RkpqnaWw%3D
38,3164.0,5.43,680.0,25.75,819.0,14.54,903.0,2.3,315.0,28.45,447.0,DI NASSO Veronica,https://www.fidal.it/atleta/DI-NASSO-Veronica/dK6RlJWja2Y%3D
39,3163.0,5.55,715.0,28.5,592.0,15.77,743.0,3.55,782.0,22.27,331.0,PAGNONCELLI Elisa,https://www.fidal.it/atleta/PAGNONCELLI-Elisa/dq2RlJKhb2Y%3D
40,3161.0,5.09,584.0,27.53,668.0,15.93,723.0,2.8,488.0,41.6,698.0,VANUCCI Maite,https://www.fidal.it/atleta/VANUCCI-Maite/eqiRlpOob2Q%3D
41,3160.0,6.17,902.0,25.99,798.0,14.85,862.0,1.9,191.0,26.3,407.0,TRAVAR Milica,https://www.fidal.it/atleta/TRAVAR-Milica/dKAAARlJOgb2c%3D
42,3136.0,5.93,828.0,25.64,829.0,14.57,899.0,2.5,382.0,15.09,198.0,CRIPPA Chiara,https://www.fidal.it/atleta/CRIPPA-Chiara/dqmRl5Kibmg%3D
43,3121.0,5.07,578.0,27.14,700.0,16.61,641.0,2.6,417.0,46.13,785.0,MILANI Giulia,https://www.fidal.it/atleta/MILANI-Giulia/dq2Rk5ekcGU%3D
44,3087.0,5.09,584.0,29.23,537.0,16.03,711.0,3.5,761.0,30.92,494.0,POLI Letizia,https://www.fidal.it/atleta/POLI-Letizia/faiRlJahamw%3D
45,3081.0,5.15,601.0,26.03,795.0,15.19,817.0,2.5,382.0,30.47,486.0,BOCCIOLINI Carolina,https://www.fidal.it/atleta/BOCCIOLINI-Carolina/faiRm5efbms%3D
46,3051.0,5.92,825.0,26.76,732.0,16.05,708.0,2.3,315.0,29.69,471.0,RUGGERI Martina,https://www.fidal.it/atleta/RUGGERI-Martina/e6mRkpSfa2w%3D
47,3040.0,5.26,631.0,27.14,700.0,14.09,966.0,2.3,315.0,27.41,428.0,NEBOLI Alessandra,https://www.fidal.it/atleta/NEBOLI-Alessandra/dqqRlpqjb2s%3D
48,3040.0,5.3,643.0,27.19,696.0,15.34,797.0,2.6,417.0,30.55,487.0,D'AVINO Serena,https://www.fidal.it/atleta/D-AVINO-Serena/gK2RkpegaGw%3D
49,3035.0,5.21,617.0,26.78,730.0,14.74,876.0,2.2,282.0,32.79,530.0,TAVCAR Mateja,https://www.fidal.it/atleta/TAVCAR-Mateja/eauRk5OiaWY%3D
50,3034.0,5.35,657.0,26.76,732.0,15.6,764.0,2.2,282.0,36.43,599.0,MAZZOLA Martina,https://www.fidal.it/atleta/MAZZOLA-Martina/fqiRk5qlbWQ%3D
51,3033.0,5.22,620.0,27.06,707.0,14.73,878.0,2.2,282.0,33.63,546.0,CARPINELLO Beatrice,https://www.fidal.it/atleta/CARPINELLO-Beatrice/dKyRlJSiaGc%3D
52,3024.0,5.08,581.0,27.28,689.0,15.81,738.0,3.05,582.0,27.72,434.0,ZILIO Sara,https://www.fidal.it/atleta/ZILIO-Sara/drKRkpOkcWg%3D
53,3002.0,5.16,603.0,27.78,648.0,16.11,701.0,2.35,331.0,42.71,719.0,NEBIOLO Bianca,https://www.fidal.it/atleta/NEBIOLO-Bianca/dK6RlJmjbmk%3D
54,2998.0,4.64,464.0,28.64,581.0,15.86,732.0,3.3,680.0,33.39,541.0,ZENOBI Selene,https://www.fidal.it/atleta/ZENOBI-Selene/eqiRlZamamw%3D
55,2985.0,4.46,418.0,27.74,651.0,15.89,728.0,3.5,761.0,27.36,427.0,MORELLI Chiara,https://www.fidal.it/atleta/MORELLI-Chiara/drKRkpmibGc%3D
56,2982.0,5.11,589.0,26.37,765.0,15.1,828.0,2.2,282.0,32.19,518.0,TOSO Marta,https://www.fidal.it/atleta/TOSO-Marta/dKAAARk5qkcGs%3D
57,2959.0,5.21,617.0,27.15,699.0,15.39,791.0,2.9,526.0,21.98,326.0,TOMASELLA Francesca,https://www.fidal.it/atleta/TOMASELLA-Francesca/dKuRk5alaGY%3D
58,2946.0,5.26,631.0,27.07,706.0,15.13,825.0,2.8,488.0,20.37,296.0,ANTICO Federica,https://www.fidal.it/atleta/ANTICO-Federica/dq2RlpakamU%3D
59,2943.0,5.4,671.0,27.21,694.0,14.69,883.0,2.3,315.0,24.88,380.0,MICOLUCCI Maria esperanza,https://www.fidal.it/atleta/MICOLUCCI-Maria-esperanza/gayRkpSjaWU%3D
60,2939.0,5.38,665.0,27.1,704.0,15.08,831.0,2.2,282.0,28.98,457.0,REGGI Laura,https://www.fidal.it/atleta/REGGI-Laura/eqiRlZena2Q%3D
61,2936.0,5.0,559.0,28.14,620.0,15.5,777.0,3.6,803.0,13.95,177.0,BRANDIMARTE Marina,https://www.fidal.it/atleta/BRANDIMARTE-Marina/gauRkpKfaGU%3D
62,2935.0,5.25,628.0,26.98,713.0,15.6,764.0,2.7,452.0,24.77,378.0,RONCORONI Martina michela,https://www.fidal.it/atleta/RONCORONI-Martina-michela/dq2RlJqjbmY%3D
63,2926.0,5.43,680.0,26.51,753.0,15.02,839.0,1.7,136.0,32.18,518.0,MOLINERIS Irene,https://www.fidal.it/atleta/MOLINERIS-Irene/dKyRlJambGQ%3D
64,2916.0,5.31,645.0,26.22,778.0,16.21,689.0,2.0,221.0,35.58,583.0,ROSATO Marta,https://www.fidal.it/atleta/ROSATO-Marta/dK6RlJugbGo%3D
65,2902.0,5.19,612.0,26.27,774.0,14.52,906.0,1.9,191.0,26.95,419.0,ZANELLATI Martina,https://www.fidal.it/atleta/ZANELLATI-Martina/dq2Rl5akbmc%3D
66,2898.0,5.53,709.0,27.99,632.0,15.47,781.0,2.5,382.0,25.63,394.0,CROCE Pamela,https://www.fidal.it/atleta/CROCE-Pamela/d6iRk5ioaWg%3D
67,2890.0,4.75,492.0,25.97,800.0,14.52,906.0,2.85,507.0,14.35,185.0,VENTURI DEGLI ESPOSTI Elena,https://www.fidal.it/atleta/VENTURI-DEGLI-ESPOSTI-Elena/eqyRkpKobWU%3D
68,2872.0,4.53,436.0,26.48,756.0,14.33,932.0,2.8,488.0,18.44,260.0,DELIGIOS Fabiana,https://www.fidal.it/atleta/DELIGIOS-Fabiana/jKiRlJSmaGw%3D
69,2867.0,5.07,578.0,25.89,807.0,17.2,574.0,3.2,641.0,18.82,267.0,ROMANI Federica,https://www.fidal.it/atleta/ROMANI-Federica/gKiRlpWfaWM%3D
