,punti TOT,100m,100m p,800m,800m p,atleta,link_atleta
356,1623.0,14.11,963.0,152.64,660.0,SALA Chiara,https://www.fidal.it/atleta/SALA-Chiara/dKAAARlJOgb2Y%3D
357,1623.0,15.18,818.0,141.35,805.0,PECORA Rebecca,https://www.fidal.it/atleta/PECORA-Rebecca/dq2RlpeocWQ%3D
358,1623.0,13.23,730.0,134.97,893.0,PIERI Vanessa,https://www.fidal.it/atleta/PIERI-Vanessa/fqmRkpOja2w%3D
359,1622.0,24.76,909.0,148.4,713.0,LIMONTA Sara,https://www.fidal.it/atleta/LIMONTA-Sara/dq2RlJuia2Q%3D
360,1622.0,26.74,734.0,135.37,888.0,ALBERTINI Mira,https://www.fidal.it/atleta/ALBERTINI-Mira/fbKRkpSicGc%3D
361,1622.0,27.56,666.0,130.6,956.0,MELE Giada,https://www.fidal.it/atleta/MELE-Giada/eKiRlJmnaGs%3D
362,1621.0,25.58,834.0,142.71,787.0,VALCAVI Veronica,https://www.fidal.it/atleta/VALCAVI-Veronica/erGRkpKkcGY%3D
363,1621.0,13.96,984.0,154.53,637.0,SPREAFICO Laura,https://www.fidal.it/atleta/SPREAFICO-Laura/dquRkpWjbms%3D
364,1620.0,13.57,673.0,131.2,947.0,SINESI Irene,https://www.fidal.it/atleta/SINESI-Irene/damRkpekcWw%3D
365,1618.0,12.5,859.0,144.8,759.0,SOTGIU Giulia,https://www.fidal.it/atleta/SOTGIU-Giulia/iKiRlJSha2o%3D
366,1617.0,14.3,936.0,150.97,681.0,BARBE' CORNALBA  Sofia,https://www.fidal.it/atleta/BARBE-CORNALBA-Sofia/dq2RlJuiamk%3D
367,1617.0,26.55,750.0,136.85,867.0,POZZUOLI Mariagrazia,https://www.fidal.it/atleta/POZZUOLI-Mariagrazia/haiRkpagb2k%3D
368,1616.0,15.35,796.0,140.24,820.0,AGOSTINI Mariaelena,https://www.fidal.it/atleta/AGOSTINI-Mariaelena/eKqRkpOlbWo%3D
369,1616.0,14.42,920.0,149.73,696.0,SORAGNA Giulia,https://www.fidal.it/atleta/SORAGNA-Giulia/drKRk5ija2o%3D
370,1616.0,26.08,790.0,139.82,826.0,GENTILINI Alessia,https://www.fidal.it/atleta/GENTILINI-Alessia/d6iRk5SjcGg%3D
371,1616.0,26.28,773.0,138.55,843.0,VALENTE Daniela,https://www.fidal.it/atleta/VALENTE-Daniela/hKiRkpKmamM%3D
372,1616.0,13.2,735.0,135.85,881.0,CHESSA Camilla,https://www.fidal.it/atleta/CHESSA-Camilla/iKyRkpSlaGk%3D
373,1616.0,27.57,665.0,130.96,951.0,PATERNESI MELONI Lucia,https://www.fidal.it/atleta/PATERNESI-MELONI-Lucia/e6qRkpKjbmY%3D
374,1615.0,26.15,784.0,139.42,831.0,CERESINI Arianna,https://www.fidal.it/atleta/CERESINI-Arianna/eq6RkpKhbGk%3D
375,1615.0,25.56,836.0,143.28,779.0,DI GENNARO Ilary,https://www.fidal.it/atleta/DI-GENNARO-Ilary/f6yRlZOma2s%3D
376,1615.0,12.65,831.0,142.95,784.0,NOE' Martina,https://www.fidal.it/atleta/NOE-Martina/dq2RlpKgaWo%3D
377,1614.0,26.73,734.0,135.93,880.0,MANETTI Francesca,https://www.fidal.it/atleta/MANETTI-Francesca/faiRm5Kma2w%3D
378,1614.0,12.66,830.0,142.97,784.0,DEL NERO Chiara,https://www.fidal.it/atleta/DEL-NERO-Chiara/faiRlJmjcWY%3D
379,1614.0,26.55,750.0,137.08,864.0,GELAIN Silvia,https://www.fidal.it/atleta/GELAIN-Silvia/eKiRlZemb2U%3D
380,1613.0,25.01,886.0,147.29,727.0,BRUNI Elena,https://www.fidal.it/atleta/BRUNI-Elena/e6iRk5SncWY%3D
381,1612.0,26.37,765.0,138.25,847.0,DEL TERRA Pamela,https://www.fidal.it/atleta/DEL-TERRA-Pamela/faAAARkpKhcGk%3D
382,1612.0,14.75,875.0,146.51,737.0,OGRISEG Susanne,https://www.fidal.it/atleta/OGRISEG-Susanne/iaiRkpakbGM%3D
383,1612.0,12.15,924.0,150.37,688.0,PAZZAGLI Chiara,https://www.fidal.it/atleta/PAZZAGLI-Chiara/faiRm5SjcGM%3D
