prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
15.91,,15.91,0,SARNELLI Umberto,1990,AM,GINNASTICA COMENSE 1872,1 se- 1,Cremona,2007-10-13,https://www.fidal.it/atleta/SARNELLI-Umberto/dquRkpWhbms%3D,https://www.fidal.it/societa/GINNASTICA-COMENSE-1872/CO013
15.89,,15.89,0,SCARRONE Massimo,1991,AM,UNIVERSALE ALBA DOCILIA,1 se- 1,Genova,2007-05-17,https://www.fidal.it/atleta/SCARRONE-Massimo/daiRk5Wmbmg%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
15.85,,15.85,0,MORTINI Andrea,1990,AM,ASS.ATL.LIBERTAS ORVIETO,1 fi- 1,Viterbo,2007-09-20,https://www.fidal.it/atleta/MORTINI-Andrea/fqiRk5qjcGY%3D,https://www.fidal.it/societa/ASS-ATL-LIBERTAS-ORVIETO/TR024
15.83,,15.83,0,PAROLO Tommaso,1991,AM,POL.LIB.MIRA,1 su- 1,Mira,2007-07-18,https://www.fidal.it/atleta/PAROLO-Tommaso/eK2RkpKhcWU%3D,https://www.fidal.it/societa/POL-LIB-MIRA/VE473
15.76,,15.76,0,PAROLO Tommaso,1991,AM,POL.LIB.MIRA,2 su- 1,Rossano Veneto,2007-09-09,https://www.fidal.it/atleta/PAROLO-Tommaso/eK2RkpKhcWU%3D,https://www.fidal.it/societa/POL-LIB-MIRA/VE473
15.64,,15.64,0,SCARRONE Massimo,1991,AM,UNIVERSALE ALBA DOCILIA,1 su- 1,Alessandria,2007-05-01,https://www.fidal.it/atleta/SCARRONE-Massimo/daiRk5Wmbmg%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
15.58,,15.58,0,MORTINI Andrea,1990,AM,ASS.ATL.LIBERTAS ORVIETO,1 fi- 1,Viterbo,2007-10-11,https://www.fidal.it/atleta/MORTINI-Andrea/fqiRk5qjcGY%3D,https://www.fidal.it/societa/ASS-ATL-LIBERTAS-ORVIETO/TR024
15.52,,15.52,0,MARTINO Antonio,1991,AM,NUOVA ATLETICA FIAMMA ARANCA,1 su- 1,Reggio Calabria,2007-09-08,https://www.fidal.it/atleta/MARTINO-Antonio/hqiRk5efaWw%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-FIAMMA-ARANCA/RC032
15.48,,15.48,0,PAROLO Tommaso,1991,AM,POL.LIB.MIRA,1 su- 1,Mira,2007-08-01,https://www.fidal.it/atleta/PAROLO-Tommaso/eK2RkpKhcWU%3D,https://www.fidal.it/societa/POL-LIB-MIRA/VE473
15.42,,15.42,0,SCARRONE Massimo,1991,AM,UNIVERSALE ALBA DOCILIA,1 se- 1,Mondovi,2007-04-29,https://www.fidal.it/atleta/SCARRONE-Massimo/daiRk5Wmbmg%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
15.42,,15.42,0,PAROLO Tommaso,1991,AM,POL.LIB.MIRA,1 su- 1,Bussolengo,2007-07-14,https://www.fidal.it/atleta/PAROLO-Tommaso/eK2RkpKhcWU%3D,https://www.fidal.it/societa/POL-LIB-MIRA/VE473
15.38,,15.38,0,PAROLO Tommaso,1991,AM,POL.LIB.MIRA,6 se- 2,Cesenatico,2007-10-07,https://www.fidal.it/atleta/PAROLO-Tommaso/eK2RkpKhcWU%3D,https://www.fidal.it/societa/POL-LIB-MIRA/VE473
15.34,,15.34,0,PAROLO Tommaso,1991,AM,POL.LIB.MIRA,1 su- 1,Vicenza,2007-09-15,https://www.fidal.it/atleta/PAROLO-Tommaso/eK2RkpKhcWU%3D,https://www.fidal.it/societa/POL-LIB-MIRA/VE473
15.32,,15.32,0,SCARRONE Massimo,1991,AM,UNIVERSALE ALBA DOCILIA,1 su- 1,Villanova,2007-04-22,https://www.fidal.it/atleta/SCARRONE-Massimo/daiRk5Wmbmg%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
15.3,,15.30,0,SCARRONE Massimo,1991,AM,UNIVERSALE ALBA DOCILIA,2 su- 1,Sarzana,2007-07-01,https://www.fidal.it/atleta/SCARRONE-Massimo/daiRk5Wmbmg%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
15.29,,15.29,0,SOLAGNA Stefano,1990,AM,LIB. ATL. VILLANUOVA '70,7 se- 2,Cesenatico,2007-10-07,https://www.fidal.it/atleta/SOLAGNA-Stefano/dqqRl5Ojamo%3D,https://www.fidal.it/societa/LIB--ATL--VILLANUOVA-70/BS198
15.28,,15.28,0,RIDOLFI Braian,1990,AM,A.A.F. FRIUL GREEN,1 su- 1,Codroipo,2007-05-13,https://www.fidal.it/atleta/RIDOLFI-Braian/eayRk5KkaWU%3D,https://www.fidal.it/societa/A-A-F--FRIUL-GREEN/UD115
15.26,,15.26,0,SCARRONE Massimo,1991,AM,UNIVERSALE ALBA DOCILIA,1 se- 1,Celle Ligure,2007-07-14,https://www.fidal.it/atleta/SCARRONE-Massimo/daiRk5Wmbmg%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
15.26,,15.26,0,SCARRONE Massimo,1991,AM,UNIVERSALE ALBA DOCILIA,3 fi- 1,Lignano Sabbiadoro,2007-09-26,https://www.fidal.it/atleta/SCARRONE-Massimo/daiRk5Wmbmg%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
15.24,,15.24,0,SCARRONE Massimo,1991,AM,UNIVERSALE ALBA DOCILIA,2 su- 1,Genova,2007-05-27,https://www.fidal.it/atleta/SCARRONE-Massimo/daiRk5Wmbmg%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
15.18,,15.18,0,RIDOLFI Braian,1990,AM,A.A.F. FRIUL GREEN,1 se- 1,Majano,2007-04-21,https://www.fidal.it/atleta/RIDOLFI-Braian/eayRk5KkaWU%3D,https://www.fidal.it/societa/A-A-F--FRIUL-GREEN/UD115
15.18,,15.18,0,MARTINO Antonio,1991,AM,NUOVA ATLETICA FIAMMA ARANCA,1 su- 1,Matera,2007-06-20,https://www.fidal.it/atleta/MARTINO-Antonio/hqiRk5efaWw%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-FIAMMA-ARANCA/RC032
15.17,,15.17,0,PACE Andrea,1990,AM,A.S. DILETT.  SAFATLETICA,1 su- 1,Torino,2007-09-30,https://www.fidal.it/atleta/PACE-Andrea/dKyRk5qhaWM%3D,https://www.fidal.it/societa/A-S--DILETT--SAFATLETICA/TO074
