gara,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
Marcia_10km,2533.0,42:13,2.0,FORTUNATO Francesco,1994,JM,ASD ENTERPRISE SPORT & SERVICE,5 su- 1,Saransk,2012-05-12,https://www.fidal.it/atleta/FORTUNATO-Francesco/hKiSmpehcGc%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
Marcia_10km,2538.0,42:18,2.0,DI BARI Vito,1990,PM,G.A. FIAMME GIALLE,1 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/DI-BARI-Vito/hKiSmZmib2Q%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2542.0,42:22,2.0,STANO Massimo,1992,PM,G.S. FIAMME ORO PADOVA,3 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/STANO-Massimo/hKiSmZqncWY%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
Marcia_10km,2544.0,42:24,2.0,DE LUCA Marco,1981,SM,G.A. FIAMME GIALLE,1 su- 1,Porto San Giorgio,2012-06-02,https://www.fidal.it/atleta/DE-LUCA-Marco/f6iRkpWgaGs%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2550.0,42:30,2.0,DI BARI Vito,1990,PM,G.A. FIAMME GIALLE,1 su- 1,Porto San Giorgio,2012-06-02,https://www.fidal.it/atleta/DI-BARI-Vito/hKiSmZmib2Q%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2553.0,42:33,2.0,CAFAGNA Diego,1975,SM35,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Molinella,2012-05-06,https://www.fidal.it/atleta/CAFAGNA-Diego/eaiRkpKia2Q%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
Marcia_10km,2561.0,42:41,2.0,MACCHIA Riccardo,1990,PM,G.S. FIAMME ORO PADOVA,67 su- 1,Saransk,2012-05-12,https://www.fidal.it/atleta/MACCHIA-Riccardo/gaiRk5ajbms%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
Marcia_10km,2578.0,42:58,2.0,DI BARI Vito,1990,PM,G.A. FIAMME GIALLE,71 su- 1,Saransk,2012-05-12,https://www.fidal.it/atleta/DI-BARI-Vito/hKiSmZmib2Q%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2583.0,43:03,2.0,MINEI Vito,1994,JM,A.S.D. ATLETICA DON MILANI,4 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/MINEI-Vito/hK2RkpKgcGU%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
Marcia_10km,2585.0,43:05,2.0,FORTUNATO Francesco,1994,JM,ASD ENTERPRISE SPORT & SERVICE,1 su- 1,Molfetta,2012-04-29,https://www.fidal.it/atleta/FORTUNATO-Francesco/hKiSmpehcGc%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
Marcia_10km,2590.0,43:10,2.0,MINEI Vito,1994,JM,A.S.D. ATLETICA DON MILANI,1 se- 1,Podebrady,2012-04-21,https://www.fidal.it/atleta/MINEI-Vito/hK2RkpKgcGU%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
Marcia_10km,2591.0,43:11,2.0,FORTUNATO Francesco,1994,JM,ASD ENTERPRISE SPORT & SERVICE,2 se- 1,Podebrady,2012-04-21,https://www.fidal.it/atleta/FORTUNATO-Francesco/hKiSmpehcGc%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
Marcia_10km,2592.0,43:12,2.0,DE LUCA Marco,1981,SM,G.A. FIAMME GIALLE,1 su- 1,Macerata,2012-09-09,https://www.fidal.it/atleta/DE-LUCA-Marco/f6iRkpWgaGs%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2599.0,43:19,2.0,MINEI Vito,1994,JM,A.S.D. ATLETICA DON MILANI,2 su- 1,Molfetta,2012-04-29,https://www.fidal.it/atleta/MINEI-Vito/hK2RkpKgcGU%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
Marcia_10km,2603.0,43:23,2.0,MINEI Vito,1994,JM,A.S.D. ATLETICA DON MILANI,1 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/MINEI-Vito/hK2RkpKgcGU%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
Marcia_10km,2604.0,43:24,2.0,MINEI Vito,1994,JM,A.S.D. ATLETICA DON MILANI,1 su- 1,Macerata,2012-09-09,https://www.fidal.it/atleta/MINEI-Vito/hK2RkpKgcGU%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
Marcia_10km,2607.0,43:27,2.0,MINEI Vito,1994,JM,A.S.D. ATLETICA DON MILANI,18 su- 1,Saransk,2012-05-12,https://www.fidal.it/atleta/MINEI-Vito/hK2RkpKgcGU%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
Marcia_10km,2611.0,43:31,2.0,D'ASCANIO Ruggero,1984,SM,POL. ROCCO SCOTELLARO MT,5 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/D-ASCANIO-Ruggero/haiRkpqlb2M%3D,https://www.fidal.it/societa/POL--ROCCO-SCOTELLARO-MT/MT023
Marcia_10km,2613.0,43:33,2.0,DESSI Lorenzo,1989,SM,G.A. FIAMME GIALLE,2 su- 1,Macerata,2012-09-09,https://www.fidal.it/atleta/DESSI-Lorenzo/f6iRl5WiaWY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2619.0,43:39,2.0,FORTUNATO Francesco,1994,JM,ASD ENTERPRISE SPORT & SERVICE,2 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/FORTUNATO-Francesco/hKiSmpehcGc%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
Marcia_10km,2632.0,43:52,2.0,RENO' Giovanni,1991,PM,C.U.S. PARMA,1 su- 1,Molinella,2012-05-06,https://www.fidal.it/atleta/RENO-Giovanni/hKiSmpSjb2w%3D,https://www.fidal.it/societa/C-U-S--PARMA/PR068
Marcia_10km,2634.0,43:54,2.0,MACCHIA Riccardo,1990,PM,G.S. FIAMME ORO PADOVA,6 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/MACCHIA-Riccardo/gaiRk5ajbms%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
Marcia_10km,2650.0,44:10,2.0,MACCHIA Riccardo,1990,PM,G.S. FIAMME ORO PADOVA,2 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/MACCHIA-Riccardo/gaiRk5ajbms%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
Marcia_10km,2655.0,44:15,2.0,D'ASCANIO Ruggero,1984,SM,POL. ROCCO SCOTELLARO MT,5 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/D-ASCANIO-Ruggero/haiRkpqlb2M%3D,https://www.fidal.it/societa/POL--ROCCO-SCOTELLARO-MT/MT023
Marcia_10km,2668.0,44:28,2.0,ANTONELLI Michele,1994,JM,ATL. AVIS MACERATA,1 su- 1,Caorle,2012-06-02,https://www.fidal.it/atleta/ANTONELLI-Michele/e6uRkpKgbms%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
Marcia_10km,2676.0,44:36,2.0,RENO' Giovanni,1991,PM,C.U.S. PARMA,7 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/RENO-Giovanni/hKiSmpSjb2w%3D,https://www.fidal.it/societa/C-U-S--PARMA/PR068
Marcia_10km,2683.0,44:43,2.0,DESSI Lorenzo,1989,SM,G.A. FIAMME GIALLE,6 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/DESSI-Lorenzo/f6iRl5WiaWY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2683.0,44:43,2.0,MACCHIA Riccardo,1990,PM,G.S. FIAMME ORO PADOVA,2 su- 1,Porto San Giorgio,2012-06-02,https://www.fidal.it/atleta/MACCHIA-Riccardo/gaiRk5ajbms%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
Marcia_10km,2692.0,44:52,2.0,CONTU Alberto,1986,SM,S G AMSICORA,1 su- 1,Villa Di Serio,2012-10-14,https://www.fidal.it/atleta/CONTU-Alberto/iKiRkpuibWw%3D,https://www.fidal.it/societa/S-G-AMSICORA/CA002
Marcia_10km,2692.0,44:52,2.0,DESSI Lorenzo,1989,SM,G.A. FIAMME GIALLE,8 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/DESSI-Lorenzo/f6iRl5WiaWY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2699.0,44:59,2.0,D'ASCANIO Ruggero,1984,SM,POL. ROCCO SCOTELLARO MT,3 su- 1,Macerata,2012-09-09,https://www.fidal.it/atleta/D-ASCANIO-Ruggero/haiRkpqlb2M%3D,https://www.fidal.it/societa/POL--ROCCO-SCOTELLARO-MT/MT023
Marcia_10km,2701.0,45:01,2.0,VIGANO' Giacomo,1991,PM,ATL. LECCO-COLOMBO COSTRUZ.,40 se- 1,Lugano,2012-03-18,https://www.fidal.it/atleta/VIGANO-Giacomo/dq2RkpijcGg%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
Marcia_10km,2701.0,45:01,2.0,D'ASCANIO Ruggero,1984,SM,POL. ROCCO SCOTELLARO MT,40 se- 1,Lugano,2012-03-18,https://www.fidal.it/atleta/D-ASCANIO-Ruggero/haiRkpqlb2M%3D,https://www.fidal.it/societa/POL--ROCCO-SCOTELLARO-MT/MT023
Marcia_10km,2704.0,45:04,2.0,AMATI Marco,1994,JM,ASD BRUNI PUBBL. ATL. VOMANO,3 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/AMATI-Marco/hKiSmpeiamM%3D,https://www.fidal.it/societa/ASD-BRUNI-PUBBL--ATL--VOMANO/TE049
Marcia_10km,2704.0,45:04,2.0,AMATI Marco,1994,JM,ASD BRUNI PUBBL. ATL. VOMANO,3 se- 1,Podebrady,2012-04-21,https://www.fidal.it/atleta/AMATI-Marco/hKiSmpeiamM%3D,https://www.fidal.it/societa/ASD-BRUNI-PUBBL--ATL--VOMANO/TE049
Marcia_10km,2708.0,45:08,2.0,DEI TOS Leonardo,1992,PM,ATL.BIOTEKNA MARCON,9 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/DEI-TOS-Leonardo/eKiRlZSjcWs%3D,https://www.fidal.it/societa/ATL-BIOTEKNA-MARCON/VE471
Marcia_10km,2713.0,45:13,2.0,DEFENDENTI Roberto,1968,SM40,U.S. SCANZOROSCIATE,10 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/DEFENDENTI-Roberto/dqiRkpena2Q%3D,https://www.fidal.it/societa/U-S--SCANZOROSCIATE/BG004
Marcia_10km,2714.0,45:14,2.0,PICCININNO Vincenzo,1994,JM,ATL. ADEN  EXPRIVIA MOLFETTA,4 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/PICCININNO-Vincenzo/hKmRkpOobmk%3D,https://www.fidal.it/societa/ATL--ADEN-EXPRIVIA-MOLFETTA/BA091
Marcia_10km,2716.0,45:16,2.0,VIGANO' Giacomo,1991,PM,ATL. LECCO-COLOMBO COSTRUZ.,2 su- 1,Molfetta,2012-04-29,https://www.fidal.it/atleta/VIGANO-Giacomo/dq2RkpijcGg%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
Marcia_10km,2734.0,45:34,2.0,RENO' Giovanni,1991,PM,C.U.S. PARMA,3 su- 1,Molfetta,2012-04-29,https://www.fidal.it/atleta/RENO-Giovanni/hKiSmpSjb2w%3D,https://www.fidal.it/societa/C-U-S--PARMA/PR068
Marcia_10km,2734.0,45:34,2.0,TODISCO Daniele,1995,AM,GEAS ATLETICA,2 su- 1,Caorle,2012-06-02,https://www.fidal.it/atleta/TODISCO-Daniele/dq2RlJikamk%3D,https://www.fidal.it/societa/GEAS-ATLETICA/MI076
Marcia_10km,2738.0,45:38,2.0,RENO' Giovanni,1991,PM,C.U.S. PARMA,3 su- 1,Porto San Giorgio,2012-06-02,https://www.fidal.it/atleta/RENO-Giovanni/hKiSmpSjb2w%3D,https://www.fidal.it/societa/C-U-S--PARMA/PR068
Marcia_10km,2743.0,45:43,2.0,QUACQUARELLI Giuseppe,1993,JM,A.S.D. ATLETICA DON MILANI,5 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/QUACQUARELLI-Giuseppe/hKiSmpSlbmM%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
Marcia_10km,2754.0,45:54,2.0,VONA Flavio,1984,SM,ATL.BIOTEKNA MARCON,11 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/VONA-Flavio/f6iRlpukbGQ%3D,https://www.fidal.it/societa/ATL-BIOTEKNA-MARCON/VE471
Marcia_10km,2760.0,46:00,2.0,QUACQUARELLI Giuseppe,1993,JM,A.S.D. ATLETICA DON MILANI,12 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/QUACQUARELLI-Giuseppe/hKiSmpSlbmM%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
Marcia_10km,2765.0,46:05,2.0,PALMISANO Michele,1994,JM,A.S.D. ATLETICA DON MILANI,3 su- 1,Molfetta,2012-04-29,https://www.fidal.it/atleta/PALMISANO-Michele/hKiSmpWma2c%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
Marcia_10km,2769.0,46:09,2.0,MARCHISELLI Giuseppe,1991,PM,AMATORI ATL. ACQUAVIVA,3 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/MARCHISELLI-Giuseppe/hKiSmZeka2Q%3D,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
Marcia_10km,2772.0,46:12,2.0,CUSMAI Alessandro,1994,JM,ASD ENTERPRISE SPORT & SERVICE,6 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/CUSMAI-Alessandro/hKmRkpKkaGU%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
Marcia_10km,2791.0,46:31,2.0,ANTONELLI Michele,1994,JM,ATL. AVIS MACERATA,4 su- 1,Molfetta,2012-04-29,https://www.fidal.it/atleta/ANTONELLI-Michele/e6uRkpKgbms%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
Marcia_10km,2793.0,46:33,2.0,MARCHISELLI Giuseppe,1991,PM,AMATORI ATL. ACQUAVIVA,4 su- 1,Molfetta,2012-04-29,https://www.fidal.it/atleta/MARCHISELLI-Giuseppe/hKiSmZeka2Q%3D,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
Marcia_10km,2798.0,46:38,2.0,D'ASCANIO Ruggero,1984,SM,POL. ROCCO SCOTELLARO MT,1 su- 1,Molfetta,2012-04-29,https://www.fidal.it/atleta/D-ASCANIO-Ruggero/haiRkpqlb2M%3D,https://www.fidal.it/societa/POL--ROCCO-SCOTELLARO-MT/MT023
Marcia_10km,2814.0,46:54,2.0,TARQUINI Luca,1994,JM,FIAMME GIALLE G. SIMONI,7 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/TARQUINI-Luca/f6iRmJOobWc%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
Marcia_10km,2815.0,46:55,2.0,PALMISANO Michele,1994,JM,A.S.D. ATLETICA DON MILANI,8 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/PALMISANO-Michele/hKiSmpWma2c%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
Marcia_10km,2817.0,46:57,2.0,QUACQUARELLI Giuseppe,1993,JM,A.S.D. ATLETICA DON MILANI,1 su- 1,Porto San Giorgio,2012-06-02,https://www.fidal.it/atleta/QUACQUARELLI-Giuseppe/hKiSmpSlbmM%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
Marcia_10km,2820.0,47:00,2.0,QUACQUARELLI Giuseppe,1993,JM,A.S.D. ATLETICA DON MILANI,2 su- 1,Macerata,2012-09-09,https://www.fidal.it/atleta/QUACQUARELLI-Giuseppe/hKiSmpSlbmM%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
Marcia_10km,2830.0,47:10,2.0,ROGANTE Matteo,1994,JM,TECNO ADRIATLETICA MARCHE,2 su- 1,Porto San Giorgio,2012-06-02,https://www.fidal.it/atleta/ROGANTE-Matteo/e6iRk5ilb2Q%3D,https://www.fidal.it/societa/TECNO-ADRIATLETICA-MARCHE/AP050
Marcia_10km,2830.0,47:10,2.0,SERRA Leonardo,1993,JM,A.S.D. ATLETICA DON MILANI,3 su- 1,Macerata,2012-09-09,https://www.fidal.it/atleta/SERRA-Leonardo/hKiSmpWlaGM%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
Marcia_10km,2831.0,47:11,2.0,PICCININNO Vincenzo,1994,JM,ATL. ADEN  EXPRIVIA MOLFETTA,13 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/PICCININNO-Vincenzo/hKmRkpOobmk%3D,https://www.fidal.it/societa/ATL--ADEN-EXPRIVIA-MOLFETTA/BA091
Marcia_10km,2832.0,47:12,2.0,BOLDRINI Federico,1988,SM,ATL. RECANATI,7 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/BOLDRINI-Federico/e6iRk5KlcWk%3D,https://www.fidal.it/societa/ATL--RECANATI/MC007
Marcia_10km,2839.0,47:19,2.0,ARRIGONI Marco,1994,JM,ATL.  CENTO TORRI PAVIA,7 se- 2,Lugano,2012-03-18,https://www.fidal.it/atleta/ARRIGONI-Marco/dqmRl5WfbWc%3D,https://www.fidal.it/societa/ATL--CENTO-TORRI-PAVIA/PV110
Marcia_10km,2859.0,47:39,2.0,PICCININNO Vincenzo,1994,JM,ATL. ADEN  EXPRIVIA MOLFETTA,4 su- 1,Macerata,2012-09-09,https://www.fidal.it/atleta/PICCININNO-Vincenzo/hKmRkpOobmk%3D,https://www.fidal.it/societa/ATL--ADEN-EXPRIVIA-MOLFETTA/BA091
Marcia_10km,2864.0,47:44,2.0,CUSMAI Alessandro,1994,JM,ASD ENTERPRISE SPORT & SERVICE,5 su- 1,Molfetta,2012-04-29,https://www.fidal.it/atleta/CUSMAI-Alessandro/hKmRkpKkaGU%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
Marcia_10km,2875.0,47:55,2.0,ANGELINI Gregorio,1996,AM,ALTERATLETICA LOCOROTONDO,1 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/ANGELINI-Gregorio/hKiSmpWjcWk%3D,https://www.fidal.it/societa/ALTERATLETICA-LOCOROTONDO/BA089
Marcia_10km,2883.0,48:03,2.0,MUSSO Alessio giuseppe,1993,JM,FIAMME GIALLE G. SIMONI,9 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/MUSSO-Alessio-giuseppe/f6iRl5qicWc%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
Marcia_10km,2888.0,48:08,2.0,PICCININNO Vincenzo,1994,JM,ATL. ADEN  EXPRIVIA MOLFETTA,3 su- 1,Porto San Giorgio,2012-06-02,https://www.fidal.it/atleta/PICCININNO-Vincenzo/hKmRkpOobmk%3D,https://www.fidal.it/societa/ATL--ADEN-EXPRIVIA-MOLFETTA/BA091
Marcia_10km,2900.0,48:20,2.0,MONTOLEONE Luca,1990,PM,A.S. LA FRATELLANZA 1874,2 su- 1,Molinella,2012-05-06,https://www.fidal.it/atleta/MONTOLEONE-Luca/eqiRlJmfaWQ%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
Marcia_10km,2906.0,48:26,2.0,GIORDANO Manuel,1995,AM,C.U.S. PAVIA,3 su- 1,Caorle,2012-06-02,https://www.fidal.it/atleta/GIORDANO-Manuel/dq2RlJSnaWk%3D,https://www.fidal.it/societa/C-U-S--PAVIA/PV108
Marcia_10km,2913.0,48:33,2.0,BOLDRINI Federico,1988,SM,ATL. RECANATI,14 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/BOLDRINI-Federico/e6iRk5KlcWk%3D,https://www.fidal.it/societa/ATL--RECANATI/MC007
Marcia_10km,2915.0,48:35,2.0,BOLDRINI Federico,1988,SM,ATL. RECANATI,2 su- 1,Villa Di Serio,2012-10-14,https://www.fidal.it/atleta/BOLDRINI-Federico/e6iRk5KlcWk%3D,https://www.fidal.it/societa/ATL--RECANATI/MC007
Marcia_10km,2943.0,49:03,2.0,PICCHIOTTINO Gianluca,1996,AM,ATL LIBERTAS RUNNERS LIVORNO,2 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/PICCHIOTTINO-Gianluca/faiRm5ujcGs%3D,https://www.fidal.it/societa/ATL-LIBERTAS-RUNNERS-LIVORNO/LI035
Marcia_10km,2948.0,49:08,2.0,BOLDRINI Federico,1988,SM,ATL. RECANATI,2 su- 1,Porto San Giorgio,2012-06-02,https://www.fidal.it/atleta/BOLDRINI-Federico/e6iRk5KlcWk%3D,https://www.fidal.it/societa/ATL--RECANATI/MC007
Marcia_10km,2950.0,49:10,2.0,CAMPANA Francesco,1992,PM,ECOSPORT SB. 2000 MONTE ASC,15 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/CAMPANA-Francesco/gKiRlZimaWY%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
