gara,prestazione,vento,tempo,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
1200st_h76_SV,13732.0,,3:48:52,BASSO Alessandro,2002,CM,SANTO STEFANO ATLETICA PLANUM,1 su- 1,Genova,2017-05-20,https://www.fidal.it/atleta/BASSO-Alessandro/daqRkpKkcWc%3D,https://www.fidal.it/societa/SANTO-STEFANO-ATLETICA-PLANUM/IM042
2000st_h76,30113.0,,8:21:53,CARISSIMO Sophie addison,2002,AF,S.S. TRIONFO LIGURE,1 su- 1,Genova,2018-04-15,https://www.fidal.it/atleta/CARISSIMO-Sophie-addison/damRkpenaGY%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
400m,10.01,,10.007,ORRU' Francesco,1992,AM,ASD SULCIS ATLETICA CARBONIA,7 se- 1,Cagliari,2009-06-18,https://www.fidal.it/atleta/ORRU-Francesco/iKiSmZWicWo%3D,https://www.fidal.it/societa/ASD-SULCIS-ATLETICA-CARBONIA/CA129
Marcia_10km,39.17,,39.17,RUBINO Giorgio,1986,SM,G.A. FIAMME GIALLE,1 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/RUBINO-Giorgio/f6iRlpakamU%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,39.57,,39.57,GIUPPONI Matteo,1988,SM,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/GIUPPONI-Matteo/dqmRlpmgaGs%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
Marcia_10km,40.24,,40.24,NKOULOUKIDI Jean jacques,1982,SM,G.A. FIAMME GIALLE,3 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/NKOULOUKIDI-Jean-jacques/f6iRlJKlaGQ%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,40.52,,40.52,DI BARI Vito,1990,PM,G.A. FIAMME GIALLE,4 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/DI-BARI-Vito/hKiSmZmib2Q%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,41.3,,41.30,PARIS Daniele,1984,SM,C.S. AERONAUTICA MILITARE,5 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/PARIS-Daniele/dqiRlZunbmc%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
Marcia_10km,41.36,,41.36,MACCHIA Riccardo,1990,PM,G.S. FIAMME ORO PADOVA,6 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/MACCHIA-Riccardo/gaiRk5ajbms%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
Marcia_10km,41.5,,41.50,CAFAGNA Diego,1975,SM35,C.S. CARABINIERI SEZ. ATLETICA,7 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/CAFAGNA-Diego/eaiRkpKia2Q%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
Marcia_10km,41.56,,41.56,DOLCI Mirko,1985,SM,C.S. AERONAUTICA MILITARE,8 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/DOLCI-Mirko/dqiRlpKmbWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
Marcia_10km,43.01,,43.01,ADRAGNA Andrea,1989,SM,G.S. FIAMME ORO PADOVA,9 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/ADRAGNA-Andrea/dqmRlpqgb2g%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
Marcia_10km,43.04,,43.04,VIGANO' Giacomo,1991,PM,ATL. LECCO-COLOMBO COSTRUZ.,10 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/VIGANO-Giacomo/dq2RkpijcGg%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
Marcia_10km,43.15,,43.15,D'ASCANIO Ruggero,1984,SM,POL. ROCCO SCOTELLARO MT,11 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/D-ASCANIO-Ruggero/haiRkpqlb2M%3D,https://www.fidal.it/societa/POL--ROCCO-SCOTELLARO-MT/MT023
Marcia_10km,44.15,,44.15,MONTOLEONE Luca,1990,PM,A.S. LA FRATELLANZA 1874,12 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/MONTOLEONE-Luca/eqiRlJmfaWQ%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
Marcia_10km,44.33,,44.33,ROMANELLI Andrea,1986,SM,TOSCANA ATLETICA CARIPIT,13 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/ROMANELLI-Andrea/faiRk5igaGc%3D,https://www.fidal.it/societa/TOSCANA-ATLETICA-CARIPIT/FI018
Marcia_10km,44.43,,44.43,LAUDATO Mario,1988,SM,PRO SESTO ATL.,14 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/LAUDATO-Mario/dqiRlpalbWM%3D,https://www.fidal.it/societa/PRO-SESTO-ATL-/MI089
Marcia_10km,45.17,,45.17,DEI TOS Leonardo,1992,PM,ATL.BIOTEKNA MARCON,15 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/DEI-TOS-Leonardo/eKiRlZSjcWs%3D,https://www.fidal.it/societa/ATL-BIOTEKNA-MARCON/VE471
Marcia_10km,46.0,,46.00,CONTU Alberto,1986,SM,S G AMSICORA,16 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/CONTU-Alberto/iKiRkpuibWw%3D,https://www.fidal.it/societa/S-G-AMSICORA/CA002
Marcia_10km,46.28,,46.28,DE SALVADOR Marco,1989,SM,ATHLETIC CLUB 96 AE SPA,17 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/DE-SALVADOR-Marco/iaiRkpeibmo%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-AE-SPA/BZ066
Marcia_10km,47.24,,47.24,ANTONELLI Michele,1994,JM,ATL. AVIS MACERATA,18 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/ANTONELLI-Michele/e6uRkpKgbms%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
Marcia_10km,48.05,,48.05,AGRUSTI Andrea,1995,AM,I GUERRIERI DEL PAVONE,20 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/AGRUSTI-Andrea/iKiSmZOhcWc%3D,https://www.fidal.it/societa/I-GUERRIERI-DEL-PAVONE/SS182
Marcia_10km,49.0,,49.00,LAMMENDOLA Gianluca,1983,SM,ICARO,21 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/LAMMENDOLA-Gianluca/hqiRk5Whbms%3D,https://www.fidal.it/societa/ICARO/RC313
Marcia_10km,51.37,,51.37,GENTILE Giovanni,1984,SM,ECOSPORT SB. 2000 MONTE ASC,23 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/GENTILE-Giovanni/hKiSmZWhbWo%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
Marcia_10km,45.19,,45.19,GIORGI Eleonora anna,1989,SF,G.S. FIAMME AZZURRE,1 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/GIORGI-Eleonora-anna/dquRkpWhb2g%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002
Marcia_10km,45.25,,45.25,DI VINCENZO Sibilla,1983,SF,ASSINDUSTRIA SPORT PADOVA,2 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/DI-VINCENZO-Sibilla/gaiRkpalbmk%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PADOVA/PD140
