disciplina,tempo,vento,atleta,anno,società,posizione,luogo,data,link_atleta,link_società,categoria,prestazione,cronometraggio
60Hs_h84-8.50 (I),8.38,,VALENSIN Elisa,2007,CUS PRO PATRIA MILANO,1 fi- 1,Bergamo,2025-01-12,https://www.fidal.it/atleta/VALENSIN-Elisa/dq2Rl5qhbGc%3D,https://www.fidal.it/societa/CUS-PRO-PATRIA-MILANO/MI077,JF,8.38,e
60Hs_h84-8.50 (I),8.38,,FOSSATELLI Elisa,2005,ATL.LIBERTAS UNICUSANO LIVORNO,4 fi- 1,Ancona,2025-01-18,https://www.fidal.it/atleta/FOSSATELLI-Elisa/f6yRk5qfbWo%3D,https://www.fidal.it/societa/ATL-LIBERTAS-UNICUSANO-LIVORNO/LI035,PF,8.38,e
60Hs_h84-8.50 (I),8.46,,MINOTTI Chiara,2004,ATL. BERGAMO 1959 ORIOCENTER,3 fi- 1,Ancona,2025-02-02,https://www.fidal.it/atleta/MINOTTI-Chiara/dqmRmJmhaWo%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-ORIOCENTER/BG003,PF,8.46,e
60Hs_h84-8.50 (I),8.47,,BALLIN Azzurra,2004,ASSINDUSTRIA SPORT,3 fi- 1,Padova,2025-01-25,https://www.fidal.it/atleta/BALLIN-Azzurra/eK2Rk5KobWk%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT/PD140,PF,8.47,e
60Hs_h84-8.50 (I),8.48,,GUARRIELLO Giulia,2001,ATLETICA GUASTALLA REGGIOLO,1 fi- 1,Modena,2025-01-25,https://www.fidal.it/atleta/GUARRIELLO-Giulia/erGRkpSib2w%3D,https://www.fidal.it/societa/ATLETICA-GUASTALLA-REGGIOLO/RE107,SF,8.48,e
60Hs_h84-8.50 (I),8.50,,BIONDA Anna,1999,TRIESTE ATLETICA,1 fi- 1,Udine,2025-01-18,https://www.fidal.it/atleta/BIONDA-Anna/eauRk5Kka2Y%3D,https://www.fidal.it/societa/TRIESTE-ATLETICA/TS044,SF,8.5,e
60Hs_h84-8.50 (I),8.52,,CRIDA Veronica,2001,ATL. BRESCIA 1950,1 fi- 1,Aosta,2025-01-05,https://www.fidal.it/atleta/CRIDA-Veronica/dKAAARlJOibWQ%3D,https://www.fidal.it/societa/ATL--BRESCIA-1950/BS181,SF,8.52,e
60Hs_h84-8.50 (I),8.53,,LUI Matilda,2008,CUS PRO PATRIA MILANO,1 su- 1,Bergamo,2025-01-19,https://www.fidal.it/atleta/LUI-Matilda/dq2RmZKmcGs%3D,https://www.fidal.it/societa/CUS-PRO-PATRIA-MILANO/MI077,AF,8.53,e
60Hs_h84-8.50 (I),8.54,,OKI Desola madelaine,1999,G.S. FIAMME ORO PADOVA,2 ba- 1,Udine,2025-01-18,https://www.fidal.it/atleta/OKI-Desola-madelaine/eq6RkpOjcGQ%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131,SF,8.54,e
60Hs_h84-8.50 (I),8.54,,MORBIN Matilde,2006,ATL.VICENTINA,1 ba- 3,Ancona,2025-02-02,https://www.fidal.it/atleta/MORBIN-Matilde/eK6Rk5WocGU%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626,JF,8.54,e
100Hs_h84-8.50 (P),13.51,+1.7,CUCCU' Martina,2003,ATL.STUD. RIETI ANDREA MILARDI,1 su- 1,Pergine Valsugana,2024-07-06,https://www.fidal.it/atleta/CUCCU-Martina/e62RkpKob2s%3D,https://www.fidal.it/societa/ATL-STUD--RIETI-ANDREA-MILARDI/RI223,PF,13.51,e
100Hs_h84-8.50 (P),13.53,+1.1,BERINDE Malina lenuta,2001,SISPORT SSD,1 se- 1,Donnas,2024-07-14,https://www.fidal.it/atleta/BERINDE-Malina-lenuta/dK6RlpqkcWs%3D,https://www.fidal.it/societa/SISPORT-SSD/TO002,SF,13.53,e
100Hs_h84-8.50 (P),13.58,+0.0,FERRARI Sandra milena,2003,ASD LA FRATELLANZA 1874,2 fi- 1,Brescia,2024-06-16,https://www.fidal.it/atleta/FERRARI-Sandra-milena/erGRkpWiaWU%3D,https://www.fidal.it/societa/ASD-LA-FRATELLANZA-1874/MO052,PF,13.58,e
100Hs_h84-8.50 (P),13.60,+1.1,MACCHERONE Erica,2001,ATL. BERGAMO 1959 ORIOCENTER,2 se- 1,Donnas,2024-07-14,https://www.fidal.it/atleta/MACCHERONE-Erica/dqmRl5ugbWc%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-ORIOCENTER/BG003,SF,13.6,e
100Hs_h84-8.50 (P),13.64,+0.0,AGOSTINI Martina,2005,ASSINDUSTRIA SPORT,3 fi- 1,Brescia,2024-06-16,https://www.fidal.it/atleta/AGOSTINI-Martina/eKqRkpahcWg%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT/PD140,JF,13.64,e
100Hs_h84-8.50 (P),13.65,+1.1,STERNI Meta,2000,BOR,1 fi- 1,Maribor,2024-05-25,https://www.fidal.it/atleta/STERNI-Meta/eauRk5Oia2Q%3D,https://www.fidal.it/societa/BOR/TS006,SF,13.65,e
