prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
8.86,8.86,0.0,OBERHOFER Thomas,1964,SM50,A.S.D. SUEDTIROL TEAM CLUB,3 fi- 1,Torun,2015-03-28,https://www.fidal.it/atleta/OBERHOFER-Thomas/iaiRkpmia2M%3D,https://www.fidal.it/societa/A-S-D--SUEDTIROL-TEAM-CLUB/BZ073
9.2,9.20,0.0,AMERIO Roberto,1965,SM50,S.S. VITTORIO ALFIERI ASTI,2 ba- 2,Torun,2015-03-27,https://www.fidal.it/atleta/AMERIO-Roberto/dKiRkpKgcGs%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
9.25,9.25,0.0,AMERIO Roberto,1965,SM50,S.S. VITTORIO ALFIERI ASTI,8 fi- 1,Torun,2015-03-28,https://www.fidal.it/atleta/AMERIO-Roberto/dKiRkpKgcGs%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
9.26,9.26,0.0,LOMBARDI Paolo,1965,SM50,ATL. VIRTUS CASTENEDOLO,1 su- 1,Bergamo,2015-03-14,https://www.fidal.it/atleta/LOMBARDI-Paolo/dqqRl5amaWU%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
9.3,9.30,0.0,REBUZZI Pierluigi,1962,SM50,ATL. VIRTUS CASTENEDOLO,2 su- 1,Bergamo,2015-03-14,https://www.fidal.it/atleta/REBUZZI-Pierluigi/dqiRkpSjamw%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
9.33,9.33,0.0,BIROLINI Massimo,1960,SM55,BERGAMO STARS ATLETICA,4 fi- 1,Torun,2015-03-28,https://www.fidal.it/atleta/BIROLINI-Massimo/dqmRl5mnbGo%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
9.39,9.39,0.0,BIROLINI Massimo,1960,SM55,BERGAMO STARS ATLETICA,3 su- 1,Bergamo,2015-03-14,https://www.fidal.it/atleta/BIROLINI-Massimo/dqmRl5mnbGo%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
9.43,9.43,0.0,BIROLINI Massimo,1960,SM55,BERGAMO STARS ATLETICA,1 su- 1,Ancona,2015-02-28,https://www.fidal.it/atleta/BIROLINI-Massimo/dqmRl5mnbGo%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
9.43,9.43,0.0,BIROLINI Massimo,1960,SM55,BERGAMO STARS ATLETICA,1 ba- 1,Torun,2015-03-27,https://www.fidal.it/atleta/BIROLINI-Massimo/dqmRl5mnbGo%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
9.47,9.47,0.0,LOMBARDI Paolo,1965,SM50,ATL. VIRTUS CASTENEDOLO,2 su- 1,Ancona,2015-02-28,https://www.fidal.it/atleta/LOMBARDI-Paolo/dqqRl5amaWU%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
9.51,9.51,0.0,INDRA Hubert,1957,SM55,A.S.D. SUEDTIROL TEAM CLUB,2 su- 1,Ancona,2015-02-28,https://www.fidal.it/atleta/INDRA-Hubert/iaiRkpKgcGM%3D,https://www.fidal.it/societa/A-S-D--SUEDTIROL-TEAM-CLUB/BZ073
9.54,9.54,0.0,AMERIO Roberto,1965,SM50,S.S. VITTORIO ALFIERI ASTI,1 su- 1,Aosta,2015-03-08,https://www.fidal.it/atleta/AMERIO-Roberto/dKiRkpKgcGs%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
9.63,9.63,0.0,INDRA Hubert,1957,SM55,A.S.D. SUEDTIROL TEAM CLUB,1 se- 4,Ancona,2015-02-27,https://www.fidal.it/atleta/INDRA-Hubert/iaiRkpKgcGM%3D,https://www.fidal.it/societa/A-S-D--SUEDTIROL-TEAM-CLUB/BZ073
9.67,9.67,0.0,AMERIO Roberto,1965,SM50,S.S. VITTORIO ALFIERI ASTI,1 su- 1,Bra,2015-01-18,https://www.fidal.it/atleta/AMERIO-Roberto/dKiRkpKgcGs%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
10.42,10.42,0.0,RENZI Fabrizio,1960,SM55,EDERA ATL. FORLI,3 su- 1,Ancona,2015-02-28,https://www.fidal.it/atleta/RENZI-Fabrizio/eqiRlZeobGw%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
10.43,10.43,0.0,DA PONTE Davide,1965,SM50,A.ATL.DOLOMITI BELLUNO,1 se- 5,Ancona,2015-02-27,https://www.fidal.it/atleta/DA-PONTE-Davide/eKmRlJKicWc%3D,https://www.fidal.it/societa/A-ATL-DOLOMITI-BELLUNO/BL010
10.73,10.73,0.0,VANZO Luigi,1964,SM50,MASTERATLETICA,2 se- 5,Ancona,2015-02-27,https://www.fidal.it/atleta/VANZO-Luigi/eK6RkpSnaGQ%3D,https://www.fidal.it/societa/MASTERATLETICA/VI650
10.73,10.73,0.0,ALESI Cesare,1961,SM50,COLLECTION ATLETICA SAMBENEDET,3 se- 5,Ancona,2015-02-27,https://www.fidal.it/atleta/ALESI-Cesare/e6qRkpShaGU%3D,https://www.fidal.it/societa/COLLECTION-ATLETICA-SAMBENEDET/AP034
10.73,10.73,0.0,FASCE Luciano,1960,SM55,A.S.D.  C.U.S. GENOVA,4 su- 1,Ancona,2015-02-28,https://www.fidal.it/atleta/FASCE-Luciano/dayRkpKncGk%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
10.76,10.76,0.0,FASCE Luciano,1960,SM55,A.S.D.  C.U.S. GENOVA,1 su- 1,Padova,2015-02-07,https://www.fidal.it/atleta/FASCE-Luciano/dayRkpKncGk%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
10.78,10.78,0.0,FASCE Luciano,1960,SM55,A.S.D.  C.U.S. GENOVA,2 su- 1,Bra,2015-01-18,https://www.fidal.it/atleta/FASCE-Luciano/dayRkpKncGk%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
10.81,10.81,0.0,VANZO Luigi,1964,SM50,MASTERATLETICA,3 su- 1,Ancona,2015-02-28,https://www.fidal.it/atleta/VANZO-Luigi/eK6RkpSnaGQ%3D,https://www.fidal.it/societa/MASTERATLETICA/VI650
