punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
341,140.48,2:20.48,e,FANTINEL Davide,2005,AM,ANA ATL.FELTRE,6 se- 4,Verona,2021-09-12,https://www.fidal.it/atleta/FANTINEL-Davide/eKmRlJmjcGQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
335,180.14,3:00.14,e,CANOVA Nicol,2001,JF,ANA ATL.FELTRE,8 se- 4,San Biagio Di Callalta,2019-05-12,https://www.fidal.it/atleta/CANOVA-Nicol/eKmRlJemamw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
313,142.22,2:22.22,e,POLESANA Federico,1994,AM,ANA ATL.FELTRE,6 su- 1,Borgo Valsugana,2010-05-23,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
312,142.26,2:22.26,e,FANTINEL Davide,2005,AM,ANA ATL.FELTRE,6 se- 8,Vicenza,2021-05-16,https://www.fidal.it/atleta/FANTINEL-Davide/eKmRlJmjcGQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
307,142.58,2:22.58,e,MAHJOUBI Amir mattia,2000,AM,ANA ATL.FELTRE,5 se- 3,Caorle,2016-05-29,https://www.fidal.it/atleta/MAHJOUBI-Amir-mattia/eKmRlJWoaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
295,143.37,2:23.37,e,FANTINEL Davide,2005,AM,ANA ATL.FELTRE,8 se- 8,Trento,2021-07-13,https://www.fidal.it/atleta/FANTINEL-Davide/eKmRlJmjcGQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
279,186.27,3:06.27,e,ZABOT Gigliola,1973,SF50,ANA ATL.FELTRE,5 se- 3,Borgo Valbelluna,2023-06-06,https://www.fidal.it/atleta/ZABOT-Gigliola/eKmRlJWmb2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
275,144.71,2:24.71,e,NOSIGLIA Alessio,1983,SM40,ANA ATL.FELTRE,1 se- 4,Borgo Valbelluna,2023-06-06,https://www.fidal.it/atleta/NOSIGLIA-Alessio/eKAAARk5Kha2k%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
263,188.15,3:08.15,e,ANGELETTI Serena,1993,AF,ANA ATL.FELTRE,7 se- 2,Rosa,2009-05-24,https://www.fidal.it/atleta/ANGELETTI-Serena/eKmRlJSkcWQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
256,145.98,2:25.98,e,FANTINEL Davide,2005,AM,ANA ATL.FELTRE,6 se- 1,San Biagio Di Callalta,2021-05-01,https://www.fidal.it/atleta/FANTINEL-Davide/eKmRlJmjcGQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
246,146.74,2:26.74,e,MAZZOCCO Simone,2006,AM,ANA ATL.FELTRE,7 se- 1,Trento,2023-07-11,https://www.fidal.it/atleta/MAZZOCCO-Simone/eKmRlJegaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
240,147.15,2:27.15,e,DA RIN DE MONEGO Lorenzo,2000,AM,ANA ATL.FELTRE,6 se- 9,Vicenza,2016-05-08,https://www.fidal.it/atleta/DA-RIN-DE-MONEGO-Lorenzo/eKmRlJefa2M%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
212,194.44,3:14.44,e,LAKHDAR Nouhalia,1996,AF,ANA ATL.FELTRE,8 se- 1,Abano Terme,2012-05-13,https://www.fidal.it/atleta/LAKHDAR-Nouhalia/eKmRlJWoamg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
201,150.06,2:30.06,e,MAZZOCCO Simone,2006,AM,ANA ATL.FELTRE,7 se- 3,Feltre,2022-06-08,https://www.fidal.it/atleta/MAZZOCCO-Simone/eKmRlJegaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
195,150.61,2:30.61,e,MOINO Alessandro,1974,SM45,ANA ATL.FELTRE,8 se- 3,Feltre,2022-06-08,https://www.fidal.it/atleta/MOINO-Alessandro/eKmRlJmkcWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
195,150.6,2:30.60,e,MAZZOCCO Simone,2006,AM,ANA ATL.FELTRE,4 se- 2,Mezzano,2022-09-14,https://www.fidal.it/atleta/MAZZOCCO-Simone/eKmRlJegaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
189,151.09,2:31.09,e,ZUGLIAN Giorgio,2000,AM,ANA ATL.FELTRE,7 se- 3,Vicenza,2016-05-01,https://www.fidal.it/atleta/ZUGLIAN-Giorgio/eKmRlJOkaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
187,151.22,2:31.22,e,COLUSSI Riki,1978,SM45,ANA ATL.FELTRE,2 se- 4,Borgo Valbelluna,2023-06-06,https://www.fidal.it/atleta/COLUSSI-Riki/eKmRlJifaWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
167,152.9,2:32.90,e,PIAZZA Fabio,1982,SM40,ANA ATL.FELTRE,9 se- 3,Feltre,2022-06-08,https://www.fidal.it/atleta/PIAZZA-Fabio/eKmRlJeoaWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
164,153.21,2:33.21,e,MAZZOCCO Simone,2006,AM,ANA ATL.FELTRE,16 se- 4,Padova,2022-05-01,https://www.fidal.it/atleta/MAZZOCCO-Simone/eKmRlJegaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
156,153.88,2:33.88,e,FANTINEL Daniele,1969,SM50,ANA ATL.FELTRE,3 se- 4,Borgo Valbelluna,2023-06-06,https://www.fidal.it/atleta/FANTINEL-Daniele/eKmRlJWmb2k%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
132,156.14,2:36.14,e,IRITTI Massimo,1973,SM50,ANA ATL.FELTRE,2 su- 1,Feltre,2024-04-10,https://www.fidal.it/atleta/IRITTI-Massimo/eKmRlJilaGk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
130,156.34,2:36.34,e,IRITTI Massimo,1973,SM50,ANA ATL.FELTRE,4 se- 4,Borgo Valbelluna,2023-06-06,https://www.fidal.it/atleta/IRITTI-Massimo/eKmRlJilaGk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
127,156.61,2:36.61,e,MAZZOCCO Simone,2006,AM,ANA ATL.FELTRE,11 se- 3,Trento,2022-07-19,https://www.fidal.it/atleta/MAZZOCCO-Simone/eKmRlJegaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
117,157.6,2:37.60,e,PIAZZA Fabio,1982,SM40,ANA ATL.FELTRE,3 su- 1,Feltre,2024-04-10,https://www.fidal.it/atleta/PIAZZA-Fabio/eKmRlJeoaWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
106,158.79,2:38.79,e,PIAZZA Fabio,1982,SM40,ANA ATL.FELTRE,7 se- 3,Borgo Valbelluna,2023-06-06,https://www.fidal.it/atleta/PIAZZA-Fabio/eKmRlJeoaWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
57,165.03,2:45.03,e,TONET Stefano,1972,SM50,ANA ATL.FELTRE,5 se- 4,Borgo Valbelluna,2023-06-06,https://www.fidal.it/atleta/TONET-Stefano/eKmRlJqfbmQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
