prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
73.94,,73.94,0,VIZZONI Nicola,1973,SM,G.A. FIAMME GIALLE,1 su- 1,Firenze,2007-10-06,https://www.fidal.it/atleta/VIZZONI-Nicola/f6iRkpKlbWw%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
73.76,,73.76,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,9 fi- 1,Praga,2007-06-13,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
73.66,,73.66,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Trieste,2007-07-21,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
73.64,,73.64,0,VIZZONI Nicola,1973,SM,G.A. FIAMME GIALLE,8 qu- 1,Osaka,2007-08-25,https://www.fidal.it/atleta/VIZZONI-Nicola/f6iRkpKlbWw%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
73.48,,73.48,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Lucca,2007-07-12,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
73.48,,73.48,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,5 fi- 1,Rethymno,2007-07-18,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
73.44,,73.44,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,1 su- 1,Aosta,2007-05-12,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
73.43,,73.43,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,1 su- 1,Palermo,2007-09-22,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
73.41,,73.41,0,VIZZONI Nicola,1973,SM,G.A. FIAMME GIALLE,7 se- 1,Yalta,2007-03-17,https://www.fidal.it/atleta/VIZZONI-Nicola/f6iRkpKlbWw%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
73.27,,73.27,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Gorizia,2007-09-16,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
73.21,,73.21,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,1 su- 1,Nizza,2007-01-06,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
72.95,,72.95,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Pordenone,2007-06-13,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
72.42,,72.42,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Gorizia,2007-07-08,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
72.4,,72.40,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,2 se- 1,Trento,2007-04-21,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
72.4,,72.40,0,SANGUIN Giovanni,1969,SM35,G.S. FIAMME ORO PADOVA,2 su- 1,Palermo,2007-09-30,https://www.fidal.it/atleta/SANGUIN-Giovanni/eKiRkpKhbWQ%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
72.38,,72.38,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Modena,2007-05-20,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
72.22,,72.22,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Trento,2007-05-04,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
72.2,,72.20,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,8 se- 1,Yalta,2007-03-17,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
72.06,,72.06,0,DELLI CARRI Pellegrino,1976,SM,C.S. AERONAUTICA MILITARE,1 su- 1,Foggia,2007-06-23,https://www.fidal.it/atleta/DELLI-CARRI-Pellegrino/hKiRkpWibWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
71.68,,71.68,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Savona,2007-06-26,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
71.66,,71.66,0,CERRA Juan ignazio,1976,SM,SPORT CLUB CATANIA A.S.D.,3 su- 1,Palermo,2007-09-30,https://www.fidal.it/atleta/CERRA-Juan-ignazio/h6iRlZehbWw%3D,https://www.fidal.it/societa/SPORT-CLUB-CATANIA-A-S-D-/CT075
71.64,,71.64,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Jesolo,2007-05-25,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
71.47,,71.47,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Udine,2007-08-31,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
