Prestazione,Vento,Atleta,Anno,Categoria,Società,Posizione,Luogo,Data,Link Atleta,Link Società
37:05.9,,VENTRELLA Immacolata,1981,SF,A.S. OLIMPIA CLUB,1 su- 1,Locorotondo,2005-04-25,https://www.fidal.it/atleta/VENTRELLA-Immacolata/hKiRkpqmamU%3D,https://www.fidal.it/societa/A-S--OLIMPIA-CLUB/BA015
37:07.37,,VENTRELLA Immacolata,1981,SF,A.S. OLIMPIA CLUB,10 su- 1,Vigna Di Valle,2005-05-22,https://www.fidal.it/atleta/VENTRELLA-Immacolata/hKiRkpqmamU%3D,https://www.fidal.it/societa/A-S--OLIMPIA-CLUB/BA015
37:08.82,,MUCCI Meri,1975,SF,A.S.C.SILVANO FEDI,2 su- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/MUCCI-Meri/faiRm5aicGU%3D,https://www.fidal.it/societa/A-S-C-SILVANO-FEDI/PT123
37:14.9,,MERONI Giovanna,1969,SF35,GINNASTICA COMENSE 1872,1 su- 1,Brescia,2005-09-21,https://www.fidal.it/atleta/MERONI-Giovanna/dqiRlZOjaGc%3D,https://www.fidal.it/societa/GINNASTICA-COMENSE-1872/CO013
37:17.39,,MANCA Manuela,1981,SF,S G AMSICORA,11 su- 1,Vigna Di Valle,2005-05-22,https://www.fidal.it/atleta/MANCA-Manuela/iKiRkpWgcGw%3D,https://www.fidal.it/societa/S-G-AMSICORA/CA002
37:17.7,,VANACORE Annamaria,1972,SF,ATLETICA CENTRO ESTER NAPOLI,1 su- 1,Avellino,2005-04-24,https://www.fidal.it/atleta/VANACORE-Annamaria/gKiRkpKmaWw%3D,https://www.fidal.it/societa/ATLETICA-CENTRO-ESTER-NAPOLI/NA062
37:19.1,,BIANCAROSA Sofia,1983,PF,A.S. DILETT. GENESIS,1 su- 1,Catania,2005-06-25,https://www.fidal.it/atleta/BIANCAROSA-Sofia/h6iRk5SmcGM%3D,https://www.fidal.it/societa/A-S--DILETT--GENESIS/CT210
37:25.8,,MANCA Manuela,1981,SF,S G AMSICORA,1 su- 1,Sanluri,2005-04-24,https://www.fidal.it/atleta/MANCA-Manuela/iKiRkpWgcGw%3D,https://www.fidal.it/societa/S-G-AMSICORA/CA002
37:27.17,,PATERLINI Daniela,1973,SF,CALCESTRUZZI CORRADINI EXCELS.,2 su- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/PATERLINI-Daniela/eqiRkpKmcGQ%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
37:30.9,,BUTTINELLI Enrica,1969,SF35,VIOLETTACLUB,2 su- 1,Sellia Marina,2005-04-24,https://www.fidal.it/atleta/BUTTINELLI-Enrica/f6iRlpOmb2s%3D,https://www.fidal.it/societa/VIOLETTACLUB/CZ234
37:36.82,,SPILOTTI Daniela,1968,SF35,ATLETICA BRUGNERA,4 su- 1,Treviso,2005-04-23,https://www.fidal.it/atleta/SPILOTTI-Daniela/eaiRkpKibmo%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA/PN039
37:40.58,,BIANCAROSA Sofia,1983,PF,A.S. DILETT. GENESIS,12 su- 1,Vigna Di Valle,2005-05-22,https://www.fidal.it/atleta/BIANCAROSA-Sofia/h6iRk5SmcGM%3D,https://www.fidal.it/societa/A-S--DILETT--GENESIS/CT210
37:43.6,,MERONI Giovanna,1969,SF35,GINNASTICA COMENSE 1872,2 se- 1,Guanzate,2005-09-01,https://www.fidal.it/atleta/MERONI-Giovanna/dqiRlZOjaGc%3D,https://www.fidal.it/societa/GINNASTICA-COMENSE-1872/CO013
37:43.89,,DI BERT Ljudmila,1974,SF,G.S. GABBI,3 su- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/DI-BERT-Ljudmila/eaiRkpOgb2k%3D,https://www.fidal.it/societa/G-S--GABBI/BO005
37:45.9,,BIANCO Faustina,1965,SF40,ALTERATLETICA LOCOROTONDO,2 su- 1,Locorotondo,2005-04-25,https://www.fidal.it/atleta/BIANCO-Faustina/hqiRkpaibWc%3D,https://www.fidal.it/societa/ALTERATLETICA-LOCOROTONDO/BA089
37:53.94,,CLERICI Cristina,1965,SF40,GINNASTICA COMENSE 1872,13 su- 1,Vigna Di Valle,2005-05-22,https://www.fidal.it/atleta/CLERICI-Cristina/dqiRlZSfcWc%3D,https://www.fidal.it/societa/GINNASTICA-COMENSE-1872/CO013
38:01.9,,BUSSO Ivana,1980,SF,A.S. DIL. ATLETICA PADUA RG,1 su- 1,Ragusa,2005-04-23,https://www.fidal.it/atleta/BUSSO-Ivana/h6iRlJqia2Q%3D,https://www.fidal.it/societa/A-S--DIL--ATLETICA-PADUA-RG/RG119
38:15.1,,SCHEPIS Santa cristina,1978,SF,A.S.D. POL MOVIM. NON VIOLENTO,1 se- 1,Messina,2005-05-25,https://www.fidal.it/atleta/SCHEPIS-Santa-cristina/h6iRkpakb2s%3D,https://www.fidal.it/societa/A-S-D--POL-MOVIM--NON-VIOLENTO/ME097
38:15.2,,PANNACCI Michela,1973,SF,C.U.S.PERUGIA,3 su- 1,Osimo,2005-04-24,https://www.fidal.it/atleta/PANNACCI-Michela/fqiRkpKga2w%3D,https://www.fidal.it/societa/C-U-S-PERUGIA/PG018
38:18.2,,PELLIS Stefania,1978,SF,FASHION SPORTING TEAM ROMA,6 su- 1,Roma,2005-04-24,https://www.fidal.it/atleta/PELLIS-Stefania/f6iRlJmmcWY%3D,https://www.fidal.it/societa/FASHION-SPORTING-TEAM-ROMA/RM063
38:18.61,,CASTELLANI Laura francesca,1971,SF,ATLETICA BRUGNERA,5 su- 1,Treviso,2005-04-23,https://www.fidal.it/atleta/CASTELLANI-Laura-francesca/eayRkpehbmY%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA/PN039
38:26.32,,FAUCCI Elisa,1977,SF,ASSICURAZIONI GENERALI PROG.SP,3 su- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/FAUCCI-Elisa/faiRk5ehb2o%3D,https://www.fidal.it/societa/ASSICURAZIONI-GENERALI-PROG-SP/LI127
38:29.66,,HERMAN Mery ellen,1983,PF,P.B.M. BOVISIO MASCIAGO,2 su- 1,Brescia,2005-05-07,https://www.fidal.it/atleta/HERMAN-Mery-ellen/drGRkpagb2k%3D,https://www.fidal.it/societa/P-B-M--BOVISIO-MASCIAGO/MI102
38:32.80,,VENTURELLI Anna maria,1964,SF40,MOLLIFICIO MODENESE CITTADELLA,4 su- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/VENTURELLI-Anna-maria/eqiRkpKlaWs%3D,https://www.fidal.it/societa/MOLLIFICIO-MODENESE-CITTADELLA/MO054
38:32.8,,SANTONI Loredana,1969,SF35,ATLETICA TRE VALLI,4 su- 0,Osimo,2005-04-24,https://www.fidal.it/atleta/SANTONI-Loredana/e6iRkpujams%3D,https://www.fidal.it/societa/ATLETICA-TRE-VALLI/AN010
38:33.97,,BONANNI Valentina,1971,SF,ATLETICA BRUGNERA,6 su- 1,Treviso,2005-04-23,https://www.fidal.it/atleta/BONANNI-Valentina/eaiRkpWmbGM%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA/PN039
38:37.8,,MANZELLA Antonina,1978,SF,VIOLETTACLUB,3 su- 1,Sellia Marina,2005-04-24,https://www.fidal.it/atleta/MANZELLA-Antonina/hqiRkpKlbmo%3D,https://www.fidal.it/societa/VIOLETTACLUB/CZ234
38:44.96,,PELATI Elena,1978,SF,N.ATL. FANFULLA LODIGIANA COOP,3 su- 1,Brescia,2005-05-07,https://www.fidal.it/atleta/PELATI-Elena/eqiRk5ilcGQ%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA-COOP/MI218
38:47.67,,DAMIANI Chiara,1973,SF,CUS FERRARA,5 su- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/DAMIANI-Chiara/eqiRlJuibWo%3D,https://www.fidal.it/societa/CUS-FERRARA/FE026
38:51.23,,DONATI Sara,1981,SF,ATL. APUANA FEMMINILE,4 su- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/DONATI-Sara/faiRk5KnaGk%3D,https://www.fidal.it/societa/ATL--APUANA-FEMMINILE/MS090
38:57.4,,PETRINI Maria,1974,SF,ATL. ELPIDIENSE AVIS AIDO,5 su- 0,Osimo,2005-04-24,https://www.fidal.it/atleta/PETRINI-Maria/e6iRkpKhbGg%3D,https://www.fidal.it/societa/ATL--ELPIDIENSE-AVIS-AIDO/FM008
39:00.82,,OGNISSANTI Maria rosa,1965,SF40,ATL. APUANA FEMMINILE,5 su- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/OGNISSANTI-Maria-rosa/faiSkpKha2k%3D,https://www.fidal.it/societa/ATL--APUANA-FEMMINILE/MS090
39:02.5,,OSTINI Roberta,1974,SF,FASHION SPORTING TEAM ROMA,7 su- 1,Roma,2005-04-24,https://www.fidal.it/atleta/OSTINI-Roberta/f6iRlZWfcGo%3D,https://www.fidal.it/societa/FASHION-SPORTING-TEAM-ROMA/RM063
39:26.54,,AMEDEI Elisa,1983,PF,ATL. APUANA FEMMINILE,6 su- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/AMEDEI-Elisa/faiRk5egbGs%3D,https://www.fidal.it/societa/ATL--APUANA-FEMMINILE/MS090
39:29.17,,SORANZO Lucia,1948,SF55,C.U.S. BOLOGNA,7 su- 1,Treviso,2005-04-23,https://www.fidal.it/atleta/SORANZO-Lucia/eqiRkpKlaGo%3D,https://www.fidal.it/societa/C-U-S--BOLOGNA/BO008
39:32.26,,TIRELLI Cecilia,1980,SF,MOLLIFICIO MODENESE CITTADELLA,7 su- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/TIRELLI-Cecilia/eqiRk5anaGo%3D,https://www.fidal.it/societa/MOLLIFICIO-MODENESE-CITTADELLA/MO054
39:34.01,,SORANZO Lucia,1948,SF55,C.U.S. BOLOGNA,8 su- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/SORANZO-Lucia/eqiRkpKlaGo%3D,https://www.fidal.it/societa/C-U-S--BOLOGNA/BO008
39:42.9,,SANTELIA Bruna,1985,PF,A.S.A. DETUR NAPOLI,2 su- 1,Avellino,2005-04-24,https://www.fidal.it/atleta/SANTELIA-Bruna/gKiRlJqib2Q%3D,https://www.fidal.it/societa/A-S-A--DETUR-NAPOLI/NA078
39:45.23,,PINI PRATO Francesca,1968,SF35,ASSI BANCA TOSCANA FIRENZE,7 su- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/PINI-PRATO-Francesca/faiRkpKobGc%3D,https://www.fidal.it/societa/ASSI-BANCA-TOSCANA-FIRENZE/FI001
39:48.3,,MORETTI Elisabetta,1981,SF,A.S.ATL. MEZZOFONDO RECANATI,6 su- 0,Osimo,2005-04-24,https://www.fidal.it/atleta/MORETTI-Elisabetta/e6iRkpKhaGg%3D,https://www.fidal.it/societa/A-S-ATL--MEZZOFONDO-RECANATI/MC034
39:59.60,,TAZZIOLI Martina,1985,PF,A. ATL. CAMAIORE,9 su- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/TAZZIOLI-Martina/faiRlJKkaGY%3D,https://www.fidal.it/societa/A--ATL--CAMAIORE/LU106
40:08.10,,SCANDOLA Silvia,1981,SF,CALCESTRUZZI CORRADINI EXCELS.,9 su- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/SCANDOLA-Silvia/eKiRk5SmaWU%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
40:12.28,,LUCCHI Silvia,1972,SF,G.S. GABBI,10 su- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/LUCCHI-Silvia/eqiRkpifbGw%3D,https://www.fidal.it/societa/G-S--GABBI/BO005
40:15.4,,MORETTI Maria rosaria,1977,SF,G.S. MATERA,1 su- 1,Matera,2005-03-12,https://www.fidal.it/atleta/MORETTI-Maria-rosaria/haiRkpKkaGo%3D,https://www.fidal.it/societa/G-S--MATERA/MT022
40:16.4,,LAMASTRA Giuliana,1974,SF,ATLETICA SANDRO CALVESI,1 se- 1,Aosta,2005-04-21,https://www.fidal.it/atleta/LAMASTRA-Giuliana/jKiRlJSlamY%3D,https://www.fidal.it/societa/ATLETICA-SANDRO-CALVESI/AO004
40:23.4,,TORRE Livia,1970,SF35,ALTERATLETICA LOCOROTONDO,3 su- 1,Locorotondo,2005-04-25,https://www.fidal.it/atleta/TORRE-Livia/hKiSmJmgb2M%3D,https://www.fidal.it/societa/ALTERATLETICA-LOCOROTONDO/BA089
40:28.47,,CAZZARO' Paola,1975,SF,G.S. GABBI,11 su- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/CAZZARO-Paola/hKiRk5Kkamg%3D,https://www.fidal.it/societa/G-S--GABBI/BO005
40:36.3,,BONANNO Graziella,1971,SF,ASD POL.MARATHON C.BIANCAVILLA,2 su- 1,Ragusa,2005-04-23,https://www.fidal.it/atleta/BONANNO-Graziella/h6iRlJWkbWU%3D,https://www.fidal.it/societa/ASD-POL-MARATHON-C-BIANCAVILLA/CT246
40:36.57,,SORANZO Lucia,1948,SF55,C.U.S. BOLOGNA,2 fi- 1,San Sebastian,2005-08-28,https://www.fidal.it/atleta/SORANZO-Lucia/eqiRkpKlaGo%3D,https://www.fidal.it/societa/C-U-S--BOLOGNA/BO008
40:55.9,,MENGOZZI Claudia,1966,SF35,ATL. ALESSANDRIA,1 su- 1,Novi Ligure,2005-10-08,https://www.fidal.it/atleta/MENGOZZI-Claudia/dKmRk5emcGM%3D,https://www.fidal.it/societa/ATL--ALESSANDRIA/AL001
40:58.8,,URBANI Silvia,1977,SF,ATL. RECANATI ENERGIA +,7 su- 0,Osimo,2005-04-24,https://www.fidal.it/atleta/URBANI-Silvia/e6iRk5OlcGw%3D,https://www.fidal.it/societa/ATL--RECANATI-ENERGIA-+/MC007
41:01.9,,TERRANEO Elisa,1987,JF,A.ATL. LECCO-COLOMBO COSTRUZ.,3 se- 1,Guanzate,2005-09-01,https://www.fidal.it/atleta/TERRANEO-Elisa/dquRkpKibmU%3D,https://www.fidal.it/societa/A-ATL--LECCO-COLOMBO-COSTRUZ-/CO208
41:04.4,,DEL CONSOLE Rosaria,1976,SF,ALTERATLETICA LOCOROTONDO,4 su- 1,Locorotondo,2005-04-25,https://www.fidal.it/atleta/DEL-CONSOLE-Rosaria/h6iRlJihamo%3D,https://www.fidal.it/societa/ALTERATLETICA-LOCOROTONDO/BA089
41:09.1,,MIACCI Annalisa,1975,SF,CUS CASSINO,8 se- 1,Roma,2005-04-30,https://www.fidal.it/atleta/MIACCI-Annalisa/f6iRl5ama2g%3D,https://www.fidal.it/societa/CUS-CASSINO/FR256
41:12.2,,MARI Annamaria,1984,PF,C.S. ESERCITO,5 su- 1,Locorotondo,2005-04-25,https://www.fidal.it/atleta/MARI-Annamaria/hKiSmJeoamk%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
41:19.18,,BELLINI Giulia,1984,PF,MOLLIFICIO MODENESE CITTADELLA,12 su- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/BELLINI-Giulia/eqiRk5mjaGM%3D,https://www.fidal.it/societa/MOLLIFICIO-MODENESE-CITTADELLA/MO054
41:19.42,,LAMBERTINI Elisabetta,1974,SF,G.S. GABBI,13 su- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/LAMBERTINI-Elisabetta/eqiRlZOmbGw%3D,https://www.fidal.it/societa/G-S--GABBI/BO005
41:19.53,,BENEDETTI Roberta,1974,SF,A. ATL. CAMAIORE,10 su- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/BENEDETTI-Roberta/faiRkpOicWk%3D,https://www.fidal.it/societa/A--ATL--CAMAIORE/LU106
41:21.78,,FORNASARI Mara,1977,SF,CALCESTRUZZI CORRADINI EXCELS.,14 su- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/FORNASARI-Mara/eqiRlZKma2o%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
41:53.00,,ANGELLA Rachele,1985,PF,ATL. APUANA FEMMINILE,11 su- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/ANGELLA-Rachele/faiRlJWhcWk%3D,https://www.fidal.it/societa/ATL--APUANA-FEMMINILE/MS090
41:56.0,,SGARIGLIA Pamela,1985,PF,A.S.ATL. MEZZOFONDO RECANATI,8 su- 0,Osimo,2005-04-24,https://www.fidal.it/atleta/SGARIGLIA-Pamela/e6iRkpiobms%3D,https://www.fidal.it/societa/A-S-ATL--MEZZOFONDO-RECANATI/MC034
42:08.2,,BRUGNOLI Chiara,1983,PF,ACSI PALATINO CAMPIDOGLIO,8 su- 1,Roma,2005-04-24,https://www.fidal.it/atleta/BRUGNOLI-Chiara/f6iRmJakb2w%3D,https://www.fidal.it/societa/ACSI-PALATINO-CAMPIDOGLIO/RM044
42:27.47,,DINI Chiara,1972,SF,A. ATL. CAMAIORE,12 su- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/DINI-Chiara/faiRlJSoa2Y%3D,https://www.fidal.it/societa/A--ATL--CAMAIORE/LU106
42:40.5,,VACIRCA M.grazia,1980,SF,ASD POL.MARATHON C.BIANCAVILLA,5 su- 1,Ragusa,2005-04-23,https://www.fidal.it/atleta/VACIRCA-M-grazia/h6iRlJqjb2U%3D,https://www.fidal.it/societa/ASD-POL-MARATHON-C-BIANCAVILLA/CT246
42:53.74,,CASALINI Manola,1962,SF40,ATL. APUANA FEMMINILE,13 su- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/CASALINI-Manola/faiRkpKobmk%3D,https://www.fidal.it/societa/ATL--APUANA-FEMMINILE/MS090
43:00.0,,ANDREANI Katia,1982,SF,CLUB ATL.FEMM.FIAMMA CZ,5 su- 1,Sellia Marina,2005-04-24,https://www.fidal.it/atleta/ANDREANI-Katia/hqiRkpmmaWg%3D,https://www.fidal.it/societa/CLUB-ATL-FEMM-FIAMMA-CZ/CZ018
43:30.1,,MOGLIANI Noemi,1973,SF,ATL. RECANATI ENERGIA +,9 su- 0,Osimo,2005-04-24,https://www.fidal.it/atleta/MOGLIANI-Noemi/e6iRk5WobGM%3D,https://www.fidal.it/societa/ATL--RECANATI-ENERGIA-+/MC007
44:37.6,,BRAZZALE Sabrina,1971,SF,C.C.S. COGNE AOSTA ATLETICA,2 se- 1,Aosta,2005-04-21,https://www.fidal.it/atleta/BRAZZALE-Sabrina/jKiRkpKmb2o%3D,https://www.fidal.it/societa/C-C-S--COGNE-AOSTA-ATLETICA/AO001
44:42.3,,GIALLONGO Giuseppina,1975,SF,A.S. DIL. MODIPA ATHLETIC CLUB,6 su- 1,Ragusa,2005-04-23,https://www.fidal.it/atleta/GIALLONGO-Giuseppina/h6iRk5OkcWo%3D,https://www.fidal.it/societa/A-S--DIL--MODIPA-ATHLETIC-CLUB/RG429
45:05.5,,LANZO Maria concetta,1984,PF,VIOLETTACLUB,6 su- 1,Sellia Marina,2005-04-24,https://www.fidal.it/atleta/LANZO-Maria-concetta/hqiRk5KlbmY%3D,https://www.fidal.it/societa/VIOLETTACLUB/CZ234
46:49.7,,BEE Karin,1982,SF,ATLETICA SANDRO CALVESI,3 se- 1,Aosta,2005-04-21,https://www.fidal.it/atleta/BEE-Karin/jKiRkpKob2s%3D,https://www.fidal.it/societa/ATLETICA-SANDRO-CALVESI/AO004
47:09.4,,VOULAZ Maura,1978,SF,ATLETICA MONTEROSA FOGU MAURO,4 se- 1,Aosta,2005-04-21,https://www.fidal.it/atleta/VOULAZ-Maura/jKiRkpWkbms%3D,https://www.fidal.it/societa/ATLETICA-MONTEROSA-FOGU-MAURO/AO003
47:40.8,,VITTON MEA Elisa,1978,SF,C.S.D. FIAMME GIALLE AOSTA,5 se- 1,Aosta,2005-04-21,https://www.fidal.it/atleta/VITTON-MEA-Elisa/jKiRlJSnbmw%3D,https://www.fidal.it/societa/C-S-D--FIAMME-GIALLE-AOSTA/AO010
50:07.0,,HERREN Solange,1981,SF,ATLETICA SANDRO CALVESI,6 se- 1,Aosta,2005-04-21,https://www.fidal.it/atleta/HERREN-Solange/jKiRkpWiaGU%3D,https://www.fidal.it/societa/ATLETICA-SANDRO-CALVESI/AO004
51:25.8,,CHARREY Claudia,1984,PF,ATLETICA SANDRO CALVESI,7 se- 1,Aosta,2005-04-21,https://www.fidal.it/atleta/CHARREY-Claudia/jKiRkpSkbGM%3D,https://www.fidal.it/societa/ATLETICA-SANDRO-CALVESI/AO004
28:44.79,,MEUCCI Daniele,1985,PM,C.S. ESERCITO,1 su- 1,Torino,2006-07-08,https://www.fidal.it/atleta/MEUCCI-Daniele/faiRm5eob2s%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
28:48.30,,MEUCCI Daniele,1985,PM,C.S. ESERCITO,10 fi- 1,Goteborg,2006-08-08,https://www.fidal.it/atleta/MEUCCI-Daniele/faiRm5eob2s%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
28:52.93,,MAZZA Marco,1977,SM,G.A. FIAMME GIALLE,2 su- 1,Torino,2006-07-08,https://www.fidal.it/atleta/MAZZA-Marco/gKiRkpOlcGQ%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
28:53.47,,MAZZA Marco,1977,SM,G.A. FIAMME GIALLE,6 su- 1,Antalya,2006-04-15,https://www.fidal.it/atleta/MAZZA-Marco/gKiRkpOlcGQ%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
28:54.16,,CURZI Denis,1975,SM,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Torino,2006-07-08,https://www.fidal.it/atleta/CURZI-Denis/eqiRkpahcWk%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
28:57.72,,BALDINI Stefano,1971,SM35,CALCESTRUZZI CORRADINI EXCELS.,1 se- 1,Modena,2006-06-21,https://www.fidal.it/atleta/BALDINI-Stefano/eqiRkpKibWQ%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
29:05.68,,BUTTAZZO Giammarco,1977,SM,C.S. ESERCITO,12 su- 1,Antalya,2006-04-15,https://www.fidal.it/atleta/BUTTAZZO-Giammarco/hKiRkpWnbGs%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
29:06.5,,RICATTI Domenico,1979,SM,C.S. AERONAUTICA MILITARE,2 se- 2,Rieti,2006-04-30,https://www.fidal.it/atleta/RICATTI-Domenico/hKiRkpSkcWg%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
29:06.71,,GOFFI Danilo,1972,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Rubiera,2006-04-09,https://www.fidal.it/atleta/GOFFI-Danilo/dqiRkpSna2s%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
29:09.27,,MEUCCI Daniele,1985,PM,C.S. ESERCITO,14 su- 1,Antalya,2006-04-15,https://www.fidal.it/atleta/MEUCCI-Daniele/faiRm5eob2s%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
29:11.37,,MACCAGNAN Mattia,1980,SM,G.A. FIAMME GIALLE,16 su- 1,Antalya,2006-04-15,https://www.fidal.it/atleta/MACCAGNAN-Mattia/eKiRk5igams%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
29:12.64,,INGARGIOLA Francesco,1973,SM,G.A. FIAMME GIALLE,2 se- 1,Modena,2006-06-21,https://www.fidal.it/atleta/INGARGIOLA-Francesco/f6iRkpSkb2Y%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
29:13.52,,LEONE Maurizio,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,2 se- 1,Rubiera,2006-04-09,https://www.fidal.it/atleta/LEONE-Maurizio/eqiRk5OjcGk%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
29:16.2,,PETREI Antonello,1972,SM,ASD BRUNI PUBBL. ATL. VOMANO,1 se- 1,Teramo,2006-05-06,https://www.fidal.it/atleta/PETREI-Antonello/gaiRkpilamM%3D,https://www.fidal.it/societa/ASD-BRUNI-PUBBL--ATL--VOMANO/TE049
29:18.8,,INGARGIOLA Francesco,1973,SM,G.A. FIAMME GIALLE,3 se- 2,Rieti,2006-04-30,https://www.fidal.it/atleta/INGARGIOLA-Francesco/f6iRkpSkb2Y%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
29:21.25,,DI MARIO Ivan,1977,SM,PRO PATRIA MILANO,4 su- 1,Torino,2006-07-08,https://www.fidal.it/atleta/DI-MARIO-Ivan/f6iRlpehaGw%3D,https://www.fidal.it/societa/PRO-PATRIA-MILANO/MI077
29:28.24,,PALUMBO Matteo,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,3 se- 1,Rubiera,2006-04-09,https://www.fidal.it/atleta/PALUMBO-Matteo/g6iRkpOjcGU%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
29:38.52,,PALUMBO Matteo,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,5 su- 1,Torino,2006-07-08,https://www.fidal.it/atleta/PALUMBO-Matteo/g6iRkpOjcGU%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
29:41.32,,CURZI Denis,1975,SM,C.S. CARABINIERI SEZ. ATLETICA,4 se- 1,Rubiera,2006-04-09,https://www.fidal.it/atleta/CURZI-Denis/eqiRkpahcWk%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
29:44.31,,D'AMBROSIO Domenico,1975,SM,C.S. CARABINIERI SEZ. ATLETICA,5 se- 1,Rubiera,2006-04-09,https://www.fidal.it/atleta/D-AMBROSIO-Domenico/gKiRkpShaGQ%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
29:47.5,,MONTORIO Alberto,1983,SM,C.S. AERONAUTICA MILITARE,4 se- 2,Rieti,2006-04-30,https://www.fidal.it/atleta/MONTORIO-Alberto/dqiRlJujaWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
29:49.70,,FINESSO Paolo,1975,SM,GINNASTICA COMENSE 1872,6 su- 1,Torino,2006-07-08,https://www.fidal.it/atleta/FINESSO-Paolo/dquRkpOicWU%3D,https://www.fidal.it/societa/GINNASTICA-COMENSE-1872/CO013
29:53.1,,BONA Francesco,1983,SM,C.S. AERONAUTICA MILITARE,5 se- 2,Rieti,2006-04-30,https://www.fidal.it/atleta/BONA-Francesco/dKAAARk5afaGQ%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
29:55.18,,DE NARD Gabriele,1974,SM,G.A. FIAMME GIALLE,25 su- 1,Antalya,2006-04-15,https://www.fidal.it/atleta/DE-NARD-Gabriele/eKiRkpOmcWk%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
29:58.2,,LALLI Andrea,1987,JM,ATLETICA CAMPOCHIARO,6 se- 2,Rieti,2006-04-30,https://www.fidal.it/atleta/LALLI-Andrea/g6iRkpafaWw%3D,https://www.fidal.it/societa/ATLETICA-CAMPOCHIARO/CB034
29:59.73,,CREPALDI Gianni,1968,SM35,C.S. CARABINIERI SEZ. ATLETICA,6 se- 1,Rubiera,2006-04-09,https://www.fidal.it/atleta/CREPALDI-Gianni/eqiRkpehaWU%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
