prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
11.55,,CONTO Alessio,1986,JM,ATLETICA CANAVESANA,2 fi- 1,Asti,2005-05-17,https://www.fidal.it/atleta/CONTO-Alessio/dK6Rk5mnbWo%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
9.67,,DOVIZIOSO Nicola,1986,JM,EDERA ATL. FORLI,7 su- 1,Modena,2005-05-18,https://www.fidal.it/atleta/DOVIZIOSO-Nicola/eqiRlZmiamY%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
14.49,,VERONESI Davide,1986,JM,ATLETICA NEW STAR,1 su- 1,Modena,2005-05-18,https://www.fidal.it/atleta/VERONESI-Davide/eqiRlJWiaWQ%3D,https://www.fidal.it/societa/ATLETICA-NEW-STAR/BO430
9.97,,ARNELLI Fabrizio,1987,JM,EDERA ATL. FORLI,6 su- 1,Modena,2005-05-18,https://www.fidal.it/atleta/ARNELLI-Fabrizio/eqiRlJeib2Q%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
12.16,,GERLINI Bryan,1987,JM,G.S. ATLETICA 75 CATTOLICA,4 su- 1,Modena,2005-05-18,https://www.fidal.it/atleta/GERLINI-Bryan/eqiRlJujcGM%3D,https://www.fidal.it/societa/G-S--ATLETICA-75-CATTOLICA/RN037
12.56,,MONARI Pietro,1987,JM,A.S. LA FRATELLANZA 1874,3 su- 1,Modena,2005-05-18,https://www.fidal.it/atleta/MONARI-Pietro/eqiRlZOjcWM%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
12.93,,SINTUZZI Emanuele,1987,JM,G.S. PACE SELF ATLETICA,2 su- 1,Modena,2005-05-18,https://www.fidal.it/atleta/SINTUZZI-Emanuele/eqiRlJqfb2o%3D,https://www.fidal.it/societa/G-S--PACE-SELF-ATLETICA/RE105
11.6,,MENGOZZI Federico,1986,JM,EDERA ATL. FORLI,5 su- 1,Modena,2005-05-18,https://www.fidal.it/atleta/MENGOZZI-Federico/eqiRlZSmbWM%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
12.0,,SCUDERI Mattia,1986,JM,A.ATL. LECCO-COLOMBO COSTRUZ.,3 su- 1,Bergamo,2005-05-22,https://www.fidal.it/atleta/SCUDERI-Mattia/dquRkpSiaWM%3D,https://www.fidal.it/societa/A-ATL--LECCO-COLOMBO-COSTRUZ-/CO208
14.09,,BARBAZZA Loris,1987,JM,LIBERTAS ATLETICA TREVISO,1 su- 1,Treviso,2005-05-22,https://www.fidal.it/atleta/BARBAZZA-Loris/eKyRkpSmaGo%3D,https://www.fidal.it/societa/LIBERTAS-ATLETICA-TREVISO/TV333
14.03,,BARONIO Fabio,1986,JM,ATL. BERGAMO 1959,1 su- 1,Bergamo,2005-05-22,https://www.fidal.it/atleta/BARONIO-Fabio/dqmRlpincGo%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959/BG003
11.36,,CLERICI Matteo,1987,JM,A. ATL. ROVELLASCA,5 su- 1,Bergamo,2005-05-22,https://www.fidal.it/atleta/CLERICI-Matteo/dquRkpOkcGo%3D,https://www.fidal.it/societa/A--ATL--ROVELLASCA/CO023
12.2,,POLIDORI Luca,1986,JM,C.U.S. PAVIA,2 su- 1,Bergamo,2005-05-22,https://www.fidal.it/atleta/POLIDORI-Luca/dqAAARlpuhaWU%3D,https://www.fidal.it/societa/C-U-S--PAVIA/PV108
11.06,,GALBUSSERA Federico,1987,JM,PRO SESTO ATL.,6 su- 1,Bergamo,2005-05-22,https://www.fidal.it/atleta/GALBUSSERA-Federico/dquRkpKjaWQ%3D,https://www.fidal.it/societa/PRO-SESTO-ATL-/MI089
11.09,,ADESSO Michele,1986,JM,GRUPPO SPORTIVI CHIVASSESI,1 su- 1,Donnas,2005-05-22,https://www.fidal.it/atleta/ADESSO-Michele/dK6RlJeoaWU%3D,https://www.fidal.it/societa/GRUPPO-SPORTIVI-CHIVASSESI/TO034
11.51,,FACCHI Luca,1987,JM,ATL. CHIARI 1964 LIB.,4 su- 1,Bergamo,2005-05-22,https://www.fidal.it/atleta/FACCHI-Luca/dqqRkpOhamo%3D,https://www.fidal.it/societa/ATL--CHIARI-1964-LIB-/BS318
14.55,,CAMMERRIERI Alessandro,1986,JM,A.S. DIL. LIBERTAS CATANIA,3 fi- 1,Viterbo,2005-05-25,https://www.fidal.it/atleta/CAMMERRIERI-Alessandro/fqiRk5ihbGY%3D,https://www.fidal.it/societa/A-S--DIL--LIBERTAS-CATANIA/CT073
16.73,,CARLINI Marco,1986,JM,ATL.LIB. CITTA' DI CASTELLO,2 fi- 1,Viterbo,2005-05-25,https://www.fidal.it/atleta/CARLINI-Marco/fqiRk5Siamc%3D,https://www.fidal.it/societa/ATL-LIB--CITTA-DI-CASTELLO/PG021
13.47,,MEOLA Flavio,1987,JM,ALTO LAZIO ATL.COLAVENE,4 fi- 1,Viterbo,2005-05-25,https://www.fidal.it/atleta/MEOLA-Flavio/f6iRmJela2U%3D,https://www.fidal.it/societa/ALTO-LAZIO-ATL-COLAVENE/VT501
17.96,,MANNUCCI Eugenio umberto,1986,JM,G.A. FIAMME GIALLE,1 fi- 1,Viterbo,2005-05-25,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
11.35,,GERLINI Bryan,1987,JM,G.S. ATLETICA 75 CATTOLICA,3 su- 1,Bologna,2005-05-26,https://www.fidal.it/atleta/GERLINI-Bryan/eqiRlJujcGM%3D,https://www.fidal.it/societa/G-S--ATLETICA-75-CATTOLICA/RN037
10.94,,MENGOZZI Federico,1986,JM,EDERA ATL. FORLI,4 su- 1,Bologna,2005-05-26,https://www.fidal.it/atleta/MENGOZZI-Federico/eqiRlZSmbWM%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
9.5,,TIMONCINI Matteo,1987,JM,A.S. ATLETICA 85 FAENZA,5 su- 1,Bologna,2005-05-26,https://www.fidal.it/atleta/TIMONCINI-Matteo/eqiRlZSnbWg%3D,https://www.fidal.it/societa/A-S--ATLETICA-85-FAENZA/RA094
11.96,,MONARI Pietro,1987,JM,A.S. LA FRATELLANZA 1874,2 su- 1,Bologna,2005-05-26,https://www.fidal.it/atleta/MONARI-Pietro/eqiRlZOjcWM%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
13.2,,COLELLA Stefano,1987,JM,A.S.D. USA S.CLUB AVEZZANO,1 se- 1,Avezzano,2005-05-29,https://www.fidal.it/atleta/COLELLA-Stefano/gaiRkpunbWg%3D,https://www.fidal.it/societa/A-S-D--USA-S-CLUB-AVEZZANO/AQ005
7.7,,CHIARAVALLOTI Domenico,1987,JM,ATLETICA ZARAPOTI,2 fi- 1,Gioia Tauro,2005-05-29,https://www.fidal.it/atleta/CHIARAVALLOTI-Domenico/hqiRk5SoaGo%3D,https://www.fidal.it/societa/ATLETICA-ZARAPOTI/CZ052
15.64,,ZUCO Giuseppe,1986,JM,NUOVA ATLETICA FIAMMA ARANCA,1 fi- 1,Gioia Tauro,2005-05-29,https://www.fidal.it/atleta/ZUCO-Giuseppe/hqiRk5Wha2w%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-FIAMMA-ARANCA/RC032
12.72,,LILLI Andrea,1986,JM,A.ATL. FABRIANO,14 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/LILLI-Andrea/e6iRk5KhcGU%3D,https://www.fidal.it/societa/A-ATL--FABRIANO/AN002
13.71,,SANNA Francesco,1986,JM,AS DELOGU NUORO,9 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/SANNA-Francesco/iKiRk5iibWo%3D,https://www.fidal.it/societa/AS-DELOGU-NUORO/NU040
